batch_index,Div,league_name,match_date_iso,Time,HomeTeam,AwayTeam,source_row_index,source_url,match_key_sha256
1,SP1,Spain La Liga,2024-08-15,18:00,Ath Bilbao,Getafe,0,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,cf58feaebde1239dec9c34be4ca7652c2c1e05513869717c7e25071a2f26ea23
2,SP1,Spain La Liga,2024-08-15,20:30,Betis,Girona,1,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,ce21d439b08eee0744e8867c454986db6c70446a942ece0bebd47d6b46729b03
3,E0,England Premier League,2024-08-16,20:00,Man United,Fulham,0,https://www.football-data.co.uk/mmz4281/2425/E0.csv,138098bb09365eaca59c7c7dc87660eeac4c618897d06f205bf0497569fdf90d
4,SP1,Spain La Liga,2024-08-16,18:00,Celta,Alaves,2,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,19cc1d8fd65414af7ebbfa7b392b7612e4da0cb53a4e3cf989805de49581397a
5,SP1,Spain La Liga,2024-08-16,20:30,Las Palmas,Sevilla,3,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,5da7d54f1310f6c4997739d897db525bbd859a1cd08e9eed175751c90c4fdc6c
6,F1,France Ligue 1,2024-08-16,19:45,Le Havre,Paris SG,0,https://www.football-data.co.uk/mmz4281/2425/F1.csv,51ddbad40a549a7659f0042bdebaba379418a9b1369e680d94527c98dd39f082
7,E0,England Premier League,2024-08-17,12:30,Ipswich,Liverpool,1,https://www.football-data.co.uk/mmz4281/2425/E0.csv,94a987566078bd7f3ee19b393c4863dabd306b4b1601abe83c8fe1370554af26
8,E0,England Premier League,2024-08-17,15:00,Arsenal,Wolves,2,https://www.football-data.co.uk/mmz4281/2425/E0.csv,f80f92d5450b2bc38dc9ef5a94859dad0432cdc2f540c814202cb24103e6aed8
9,E0,England Premier League,2024-08-17,15:00,Everton,Brighton,3,https://www.football-data.co.uk/mmz4281/2425/E0.csv,9fd108be9e2c7e9dbfa051a05d896d0bddfe426ccfce50dc5506df5958067b94
10,E0,England Premier League,2024-08-17,15:00,Newcastle,Southampton,4,https://www.football-data.co.uk/mmz4281/2425/E0.csv,4e9495402f5cee6f7e0fbdc395df34a2733a4b7c4304b31635849614c0fd67a0
11,E0,England Premier League,2024-08-17,15:00,Nott'm Forest,Bournemouth,5,https://www.football-data.co.uk/mmz4281/2425/E0.csv,980988c6aeea5d9304c0848b9554fcafd8bd245ef54be600967d56ca8c7dba3d
12,E0,England Premier League,2024-08-17,17:30,West Ham,Aston Villa,6,https://www.football-data.co.uk/mmz4281/2425/E0.csv,603f726d8a3411ef58ae3f6c8a07be8a080eb209a2a03fcc91d57c0ab2fe16a8
13,SP1,Spain La Liga,2024-08-17,18:00,Osasuna,Leganes,4,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,c1283a615a5bacff1ab5d05d63bbaf0753970a5e300a4c8aa8207450740c06cf
14,SP1,Spain La Liga,2024-08-17,20:30,Valencia,Barcelona,5,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,cd25cd21fd2a6a4b52a8bcad89895c37c2ec312141a44073e0d1e12c1ffb79bf
15,I1,Italy Serie A,2024-08-17,17:30,Genoa,Inter,0,https://www.football-data.co.uk/mmz4281/2425/I1.csv,16abd8ce84324bdaea1e2dcef7348c8768de1221ed916167ac776f583ffc06fc
16,I1,Italy Serie A,2024-08-17,17:30,Parma,Fiorentina,1,https://www.football-data.co.uk/mmz4281/2425/I1.csv,f9155df3f91d694f5d44dfd108b9f854c11cb085c38d9f0206d2f4d6e9b34d5f
17,I1,Italy Serie A,2024-08-17,19:45,Empoli,Monza,2,https://www.football-data.co.uk/mmz4281/2425/I1.csv,7db3e694031f04c05eebd9a25eac96c9c3acb355f0481857873d38241ae8b5c8
18,I1,Italy Serie A,2024-08-17,19:45,Milan,Torino,3,https://www.football-data.co.uk/mmz4281/2425/I1.csv,d80f9122428c8e0eae74d955c97eb5c1e1a8492ce9a9d0d71156059a272b630f
19,F1,France Ligue 1,2024-08-17,16:00,Brest,Marseille,1,https://www.football-data.co.uk/mmz4281/2425/F1.csv,6073a398697697093404dd9519550beaaffffca00bc8ed61faff0ee3b211efda
20,F1,France Ligue 1,2024-08-17,18:00,Reims,Lille,2,https://www.football-data.co.uk/mmz4281/2425/F1.csv,6067e5c00924709520ab0d997147fe94733d9190e3e7bf9131e5cb430ad3f54e
21,F1,France Ligue 1,2024-08-17,20:00,Monaco,St Etienne,3,https://www.football-data.co.uk/mmz4281/2425/F1.csv,be242e4c41edad026575b41133b7099a440ddbf302f3a08df000af36a4457602
22,E0,England Premier League,2024-08-18,14:00,Brentford,Crystal Palace,7,https://www.football-data.co.uk/mmz4281/2425/E0.csv,734b3e0a1fff9fa3cf759ac873d7622d84d59148214d98fa9979c15bc73a17d3
23,E0,England Premier League,2024-08-18,16:30,Chelsea,Man City,8,https://www.football-data.co.uk/mmz4281/2425/E0.csv,8cc9c600d22541e41b82015d7b8e96166c91dc7721924ab2596106fe743a771b
24,SP1,Spain La Liga,2024-08-18,18:00,Sociedad,Vallecano,6,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,94d9d04a475cbe2db34dea80fcb8e81465483fbc370df0ce276f257982ab674c
25,SP1,Spain La Liga,2024-08-18,20:30,Mallorca,Real Madrid,7,https://www.football-data.co.uk/mmz4281/2425/SP1.csv,75d390e2c703a85cd59cd6a8614d50f6821d334bb87aabec8fb941ef346675f7
26,I1,Italy Serie A,2024-08-18,17:30,Bologna,Udinese,4,https://www.football-data.co.uk/mmz4281/2425/I1.csv,4ac6dafd2059b807d7dcc25b24e22a49f04c88803e4fa3508680b9a13a708593
27,I1,Italy Serie A,2024-08-18,17:30,Verona,Napoli,5,https://www.football-data.co.uk/mmz4281/2425/I1.csv,b6ac0497c366271536771598329ce74e222d0d6e20aa345bd77dcaedccfdfc16
28,I1,Italy Serie A,2024-08-18,19:45,Cagliari,Roma,6,https://www.football-data.co.uk/mmz4281/2425/I1.csv,7aaa379dfd5fea4cd271c5559dec64536bd7d042c85fac58bb2c2dc3811bb4d4
29,I1,Italy Serie A,2024-08-18,19:45,Lazio,Venezia,7,https://www.football-data.co.uk/mmz4281/2425/I1.csv,a537b0b0a0de04d80bd139f96f54078d9407465050f1030dde163cdfd5cdb8d1
30,F1,France Ligue 1,2024-08-18,14:00,Auxerre,Nice,4,https://www.football-data.co.uk/mmz4281/2425/F1.csv,6ee26497ebf0a2b90b3530d4592b6aaf77bd0515654305e7c23586ae2f766594
31,F1,France Ligue 1,2024-08-18,16:00,Angers,Lens,5,https://www.football-data.co.uk/mmz4281/2425/F1.csv,16908b03de9605aae3b10095727dbcffe7636766fda89710f33e38d12a9393f2
32,F1,France Ligue 1,2024-08-18,16:00,Montpellier,Strasbourg,6,https://www.football-data.co.uk/mmz4281/2425/F1.csv,3271f74f7bb639b2fca38609db784b6d384e91f1f3058779356163309f4ebbb7
33,F1,France Ligue 1,2024-08-18,16:00,Toulouse,Nantes,7,https://www.football-data.co.uk/mmz4281/2425/F1.csv,876595abdfafb69ffc9294121301e03bc78b7cd65d8f2547edc615b198506100
