date,game_id,competition_id,season,competition_type,home_club_id,away_club_id,home_club_name,away_club_name,home_goals,away_goals
2024-04-21,4096231,L1,2023,domestic_league,60,39,SC Freiburg,1.FSV Mainz 05,1,1
2024-04-21,4096235,L1,2023,domestic_league,86,79,SV Werder Bremen,VfB Stuttgart,2,1
2024-04-21,4103797,IT1,2023,domestic_league,2919,800,AC Monza,Atalanta BC,1,2
2024-04-21,4103799,IT1,2023,domestic_league,380,430,US Salernitana 1919,ACF Fiorentina,0,2
2024-04-21,4103800,IT1,2023,domestic_league,6574,1005,US Sassuolo,US Lecce,0,3
2024-04-21,4103801,IT1,2023,domestic_league,416,8970,Torino FC,Frosinone Calcio,0,0
2024-04-21,4109546,PO1,2023,domestic_league,3325,1465,GD Chaves,GD Estoril Praia,2,2
2024-04-21,4109548,PO1,2023,domestic_league,3268,720,Casa Pia AC,FC Porto,1,2
2024-04-21,4109550,PO1,2023,domestic_league,3329,7378,FC Famalicão,Portimonense SC,2,2
2024-04-21,4109554,PO1,2023,domestic_league,336,2420,Sporting CP,Vitória Guimarães SC,3,0
2024-04-21,4112925,ES1,2023,domestic_league,3302,1050,UD Almería,Villarreal CF,1,2
2024-04-21,4112928,ES1,2023,domestic_league,3709,681,Getafe CF,Real Sociedad,1,1
2024-04-21,4112929,ES1,2023,domestic_league,1108,13,Deportivo Alavés,Atlético de Madrid,2,0
2024-04-21,4112930,ES1,2023,domestic_league,418,131,Real Madrid,FC Barcelona,3,2
2024-04-21,4120762,UKR1,2023,domestic_league,18303,63007,FC Oleksandriya,LNZ Cherkasy,1,2
2024-04-21,4120764,UKR1,2023,domestic_league,26459,60551,NK Veres Rivne,SC Dnipro-1,1,1
2024-04-21,4120765,UKR1,2023,domestic_league,338,53646,Dynamo Kyiv,FK Polissya Zhytomyr,3,0
2024-04-21,4129733,TR1,2023,domestic_league,589,7775,Antalyaspor,Hatayspor,2,1
2024-04-21,4129734,TR1,2023,domestic_league,141,3209,Galatasaray,Pendikspor,4,1
2024-04-21,4129735,TR1,2023,domestic_league,2832,10484,Gaziantep FK,Kasimpasa,2,0
2024-04-21,4129742,TR1,2023,domestic_league,6890,126,Basaksehir FK,Caykur Rizespor,2,0
2024-04-21,4272804,RU1,2023,domestic_league,964,14589,AO FK Zenit Sankt-Peterburg,FC Orenburg,1,0
2024-04-21,4272805,RU1,2023,domestic_league,1083,232,FK Rostov,FK Spartak Moskva,1,5
2024-04-21,4272808,RU1,2023,domestic_league,41231,11127,FK Sochi,Ural Yekaterinburg,2,2
2024-04-21,4272811,RU1,2023,domestic_league,49702,121,FK Nizhny Novgorod,FK Dinamo Moskva,1,4
2024-04-21,4299874,NLP,2023,domestic_cup,234,467,Feyenoord Rotterdam,NEC Nijmegen,1,0
2024-04-21,4311366,SFA,2023,domestic_cup,124,43,Rangers FC,Heart of Midlothian FC,2,0
2024-04-21,4313194,FAC,2023,domestic_cup,990,985,Coventry City,Manchester United,5,7
2024-04-22,4103796,IT1,2023,domestic_league,5,46,AC Milan,Inter Milan,1,2
2024-04-22,4103798,IT1,2023,domestic_league,12,1025,Associazione Sportiva Roma,Bologna Football Club 1909,1,3
2024-04-22,4109553,PO1,2023,domestic_league,4294,294,SC Farense,SL Benfica,1,3
2024-04-22,4112933,ES1,2023,domestic_league,368,237,Sevilla FC,RCD Mallorca,2,1
2024-04-22,4120760,UKR1,2023,domestic_league,55686,39097,TOV FK Metalist 1925 Kharkiv,Obolon Kyiv,1,1
2024-04-22,4120766,UKR1,2023,domestic_league,61825,48726,FC Minaj,Rukh Lviv,1,1
2024-04-22,4120767,UKR1,2023,domestic_league,660,10690,FC Shakhtar Donetsk,Zorya Lugansk,2,1
2024-04-22,4129740,TR1,2023,domestic_league,2381,36,Sivasspor,Fenerbahce,2,2
2024-04-23,4095360,GB1,2023,domestic_league,11,631,Arsenal FC,Chelsea FC,5,0
2024-04-23,4261022,CIT,2023,domestic_cup,398,506,Società Sportiva Lazio S.p.A.,Juventus FC,2,1
2024-04-24,4094832,FR1,2023,domestic_league,244,417,Olympique Marseille,OGC Nice,2,2
2024-04-24,4094833,FR1,2023,domestic_league,1158,583,FC Lorient,Paris Saint-Germain,1,4
