date,game_id,competition_id,season,competition_type,home_club_id,away_club_id,home_club_name,away_club_name,home_goals,away_goals
2013-11-09,2332067,GB1,2013,domestic_league,631,984,Chelsea FC,West Bromwich Albion,2,2
2013-11-09,2332068,GB1,2013,domestic_league,873,29,Crystal Palace,Everton FC,0,0
2013-11-09,2332083,GB1,2013,domestic_league,31,931,Liverpool FC,Fulham FC,4,0
2013-11-09,2332085,GB1,2013,domestic_league,1123,379,Norwich City,West Ham United,3,1
2013-11-09,2332087,GB1,2013,domestic_league,405,603,Aston Villa,Cardiff City,2,0
2013-11-09,2332091,GB1,2013,domestic_league,180,3008,Southampton FC,Hull City,4,1
2013-11-09,2334895,SC1,2013,domestic_league,2578,2553,St. Johnstone FC,Kilmarnock FC,3,1
2013-11-09,2334899,SC1,2013,domestic_league,370,43,Aberdeen FC,Heart of Midlothian FC,1,3
2013-11-09,2334900,SC1,2013,domestic_league,903,2451,Hibernian FC,Inverness Caledonian Thistle FC,0,2
2013-11-09,2334914,SC1,2013,domestic_league,2759,371,Ross County FC,Celtic FC,1,4
2013-11-09,2334922,SC1,2013,domestic_league,987,1519,Motherwell FC,Dundee United FC,0,4
2013-11-09,2335048,SC1,2013,domestic_league,2760,465,Partick Thistle FC,St. Mirren FC,0,3
2013-11-09,2335196,RU1,2013,domestic_league,2696,121,PFK Krylya Sovetov Samara,FK Dinamo Moskva,1,2
2013-11-09,2335200,RU1,2013,domestic_league,3691,932,Tom Tomsk,"Футбольный клуб ""Локомотив"" Москва",2,0
2013-11-09,2335759,UKR1,2013,domestic_league,10690,2227,Zorya Lugansk,SK Tavriya Simferopol ( - 2022),0,0
2013-11-09,2335767,UKR1,2013,domestic_league,2740,2477,Vorskla Poltava,Karpaty Lviv (-2021),2,2
2013-11-09,2335768,UKR1,2013,domestic_league,6996,660,Goverla Uzhgorod (- 2016),FC Shakhtar Donetsk,0,2
2013-11-09,2341218,ES1,2013,domestic_league,418,681,Real Madrid,Real Sociedad,5,1
2013-11-09,2341224,ES1,2013,domestic_league,3709,1531,Getafe CF,Elche CF,1,1
2013-11-09,2341239,ES1,2013,domestic_league,940,367,Celta de Vigo,Rayo Vallecano,0,2
2013-11-09,2341244,ES1,2013,domestic_league,621,3368,Athletic Bilbao,Levante UD,2,1
2013-11-09,2342374,NL1,2013,domestic_league,1268,133,ADO Den Haag,SC Cambuur Leeuwarden,3,0
2013-11-09,2342379,NL1,2013,domestic_league,192,1435,Roda JC Kerkrade,Go Ahead Eagles,1,4
2013-11-09,2342380,NL1,2013,domestic_league,1304,202,Heracles Almelo,FC Groningen,0,3
2013-11-09,2342382,NL1,2013,domestic_league,499,200,Vitesse Arnhem,FC Utrecht,3,1
2013-11-09,2346098,TR1,2013,domestic_league,10484,524,Kasimpasa,Gaziantepspor (- 2020),3,0
2013-11-09,2346101,TR1,2013,domestic_league,3205,114,Kayserispor,Beşiktaş Jimnastik Kulübü,0,3
2013-11-09,2346102,TR1,2013,domestic_league,1506,126,Kardemir Karabükspor,Caykur Rizespor,2,1
2013-11-09,2346104,TR1,2013,domestic_league,2381,20,Sivasspor,Bursaspor,2,1
2013-11-09,2351978,GR1,2013,domestic_league,605,265,Aris Thessalonikis,Panathinaikos Athlitikos Omilos,0,2
2013-11-09,2351980,GR1,2013,domestic_league,21957,441,AO Platanias,Apollon Smyrnis,2,0
2013-11-09,2351991,GR1,2013,domestic_league,2671,653,PAS Giannina,Omilos Filathlon Irakliou FC,2,1
2013-11-09,2359317,IT1,2013,domestic_league,1627,410,Catania FC,Udinese Calcio,1,0
2013-11-09,2359321,IT1,2013,domestic_league,46,1210,Inter Milan,US Livorno 1915,2,0
2013-11-09,2378738,SFA,2013,domestic_cup,2801,23701,Berwick Rangers FC,Culter FC,3,1
2013-11-09,2378740,SFA,2013,domestic_cup,6567,3034,Auchinleck Talbot FC,Stranraer FC,2,3
2013-11-09,2379773,FAC,2013,domestic_cup,3697,2793,Morecambe FC,Southend United,0,3
2013-11-09,2379774,FAC,2013,domestic_cup,899,3054,Walsall FC,Shrewsbury Town,3,0
2013-11-09,2379775,FAC,2013,domestic_cup,3867,1220,Boreham Wood FC,Carlisle United,0,0
2013-11-09,2379776,FAC,2013,domestic_cup,3826,3820,St Albans City,Mansfield Town,1,8
2013-11-09,2379777,FAC,2013,domestic_cup,991,1127,Milton Keynes Dons,FC Halifax Town,4,1
2013-11-09,2379779,FAC,2013,domestic_cup,3539,3371,Tamworth FC,Cheltenham Town,1,0
2013-11-09,2379780,FAC,2013,domestic_cup,1034,2964,Grimsby Town,Scunthorpe United,0,0
2013-11-09,2379782,FAC,2013,domestic_cup,22108,3936,Corby Town,Dover Athletic,1,2
2013-11-09,2379783,FAC,2013,domestic_cup,1060,350,Colchester United,Sheffield United,2,3
2013-11-09,2379784,FAC,2013,domestic_cup,988,3456,Oxford United,Gateshead FC,2,2
2013-11-09,2379785,FAC,2013,domestic_cup,2577,1045,Hartlepool United,Notts County,3,2
2013-11-09,2379786,FAC,2013,domestic_cup,1112,3721,Wrexham AFC,Alfreton Town,3,1
2013-11-09,2379787,FAC,2013,domestic_cup,698,3696,Bristol City,Dagenham & Redbridge FC,3,0
2013-11-09,2379789,FAC,2013,domestic_cup,466,2804,Preston North End,Barnet FC,6,0
2013-11-09,2379792,FAC,2013,domestic_cup,1194,1027,Rotherham United,Bradford City,3,0
2013-11-09,2379793,FAC,2013,domestic_cup,2814,20877,Gillingham FC,Brackley Town,1,1
2013-11-09,2379794,FAC,2013,domestic_cup,14773,4074,Salisbury City (- 2014),Dartford FC,4,2
2013-11-09,2379795,FAC,2013,domestic_cup,3688,1074,Accrington Stanley,Tranmere Rovers,0,1
2013-11-09,2379796,FAC,2013,domestic_cup,1148,10956,Brentford FC,Staines Town FC,5,0
2013-11-09,2379797,FAC,2013,domestic_cup,3684,1020,Stevenage FC,Portsmouth FC,2,1
2013-11-09,2379799,FAC,2013,domestic_cup,1150,9829,Leyton Orient,Southport FC,5,2
2013-11-09,2379800,FAC,2013,domestic_cup,1072,6699,Peterborough United,Exeter City,2,0
2013-11-09,2379801,FAC,2013,domestic_cup,1218,1088,Torquay United,Rochdale AFC,0,2
2013-11-09,2379802,FAC,2013,domestic_cup,6340,3716,Braintree Town,Newport County,1,1
2013-11-09,2379803,FAC,2013,domestic_cup,1078,543,Oldham Athletic,Wolverhampton Wanderers,1,1
