date,game_id,competition_id,season,competition_type,home_club_id,away_club_id,home_club_name,away_club_name,home_goals,away_goals
2012-07-03,2231978,CLQ,2012,international_cup,853,10747,F91 Dudelange,SP Tre Penne,7,0
2012-07-03,2231979,CLQ,2012,international_cup,3471,10532,Linfield FC,B36 Tórshavn,0,0
2012-07-03,2231982,CLQ,2012,international_cup,6335,28958,Valletta FC,FC Lusitanos,8,0
2012-07-03,2234412,ELQ,2012,other,24832,10694,Víkingur Gøta,FK Gomel,0,6
2012-07-03,2235764,ELQ,2012,other,1167,5594,Shkendija Tetovo,Portadown FC,0,0
2012-07-05,2232097,ELQ,2012,other,12132,16779,FK Jagodina,Ordabasy Shymkent,0,1
2012-07-05,2232102,ELQ,2012,other,253,10157,Torpedo Kutaisi,FK Aktobe,1,1
2012-07-05,2232103,ELQ,2012,other,3739,5155,KF Teuta,Metalurgi Rustavi,0,3
2012-07-05,2233643,ELQ,2012,other,3900,30037,FK Borac Banja Luka,FK Celik Niksic,2,2
2012-07-05,2233748,ELQ,2012,other,8841,22783,Xäzär Länkäran,Kalju FC,2,2
2012-07-05,2233749,ELQ,2012,other,7130,8956,JK Trans Narva,FK Inter Baku,0,5
2012-07-05,2233752,ELQ,2012,other,5771,5970,Levadia Tallinn,FK Siauliai (-2016),1,0
2012-07-05,2233850,ELQ,2012,other,10854,327,FC Santa Coloma,NK Osijek,0,1
2012-07-05,2234413,ELQ,2012,other,6251,11915,Kuopion Palloseura,Llanelli AFC,2,1
2012-07-05,2234418,ELQ,2012,other,3779,1274,JJK Jyväskylä,Stabæk Fotball,2,0
2012-07-05,2234419,ELQ,2012,other,11914,11540,FC Differdange 03,NSÍ Runavík,3,0
2012-07-05,2234420,ELQ,2012,other,10752,23911,EB/Streymur,Gandzasar Kapan,3,1
2012-07-05,2234421,ELQ,2012,other,21532,195,Crusaders FC,Rosenborg Ballklub,0,3
2012-07-05,2235539,ELQ,2012,other,282,10604,FK Sarajevo,Hibernians FC,5,2
2012-07-05,2235541,ELQ,2012,other,1251,3654,Cliftonville FC,Kalmar Fotbollförening,1,0
2012-07-05,2235542,ELQ,2012,other,1101,10603,Idrottsföreningen Elfsborg,Floriana FC,8,0
2012-07-05,2235545,ELQ,2012,other,317,28633,FC Twente Enschede,UE Santa Coloma,6,0
2012-07-05,2235765,ELQ,2012,other,10791,10616,Renova Dzepciste,AC Libertas,4,0
2012-07-05,2235766,ELQ,2012,other,10301,1004,FC Pyunik Yerevan,FK Zeta Golubovac,0,3
2012-07-05,2235767,ELQ,2012,other,10693,4059,FK Baku,NS Mura,0,0
2012-07-05,2235768,ELQ,2012,other,8047,9828,FK Suduva Marijampole,Daugava Daugavpils,0,1
2012-07-05,2235769,ELQ,2012,other,11907,710,Dacia Chisinau,NK Celje,1,0
2012-07-05,2235770,ELQ,2012,other,2049,2230,KF Tirana,CS Grevenmacher,2,0
2012-07-05,2235771,ELQ,2012,other,5972,4807,Rudar Pljevlja,FC Shirak Gyumri,0,1
2012-07-05,2235772,ELQ,2012,other,10262,18506,Birkirkara FC,Metalurg Skopje,2,2
2012-07-05,2235773,ELQ,2012,other,4772,1257,NK Olimpija Ljubljana,Jeunesse Esch,3,0
2012-07-05,2235774,ELQ,2012,other,238,15299,Lech Poznan,Zhetysu Taldykorgan,2,0
2012-07-05,2235775,ELQ,2012,other,634,6163,MTK Budapest,FK Senica (- 2022),1,1
2012-07-05,2235776,ELQ,2012,other,22502,2688,Cefn Druids,Myllykosken Pallo -47,0,0
2012-07-05,2235777,ELQ,2012,other,24349,3811,La Fiorita 1967,Liepajas Metalurgs,0,2
2012-07-05,2235778,ELQ,2012,other,9211,21864,Bohemian Football Club,Thór Akureyri,0,0
2012-07-05,2235779,ELQ,2012,other,3649,2714,Bangor City,FC Zimbru Chisinau,0,0
2012-07-05,2235780,ELQ,2012,other,1189,8036,St. Patrick's Athletic,ÍBV Vestmannaeyjar,1,0
2012-07-05,2235781,ELQ,2012,other,12460,709,Flamurtari FC,Budapest Honvéd FC,0,1
2012-07-05,2235782,ELQ,2012,other,1185,9849,FH Hafnarfjördur,USV Eschen/Mauren,2,1
2012-07-09,2234404,UKRS,2012,,2783,660,Metalurg Donetsk (- 2015),FC Shakhtar Donetsk,0,2
2012-07-10,2231980,CLQ,2012,international_cup,10747,853,SP Tre Penne,F91 Dudelange,0,4
2012-07-10,2231981,CLQ,2012,international_cup,10532,3471,B36 Tórshavn,Linfield FC,3,4
2012-07-10,2231983,CLQ,2012,international_cup,28958,6335,FC Lusitanos,Valletta FC,0,1
2012-07-10,2233750,ELQ,2012,other,22783,8841,Kalju FC,Xäzär Länkäran,0,2
2012-07-10,2235544,ELQ,2012,other,10603,1101,Floriana FC,Idrottsföreningen Elfsborg,0,4
2012-07-10,2235783,ELQ,2012,other,5594,1167,Portadown FC,Shkendija Tetovo,2,1
2012-07-10,2235784,ELQ,2012,other,2230,2049,CS Grevenmacher,KF Tirana,0,0
2012-07-11,3434798,RUP,2012,domestic_cup,6085,3834,Spartak Tambov (-2014),Sokol Saratov,0,3
