date,game_id,competition_id,season,home_team,away_team,home_goals,away_goals
1963-08-24,1963-64:de.1:1:Werder Bremen:Borussia Dortmund,de.1,1963-64,Werder Bremen,Borussia Dortmund,3,2
1963-08-24,1963-64:de.1:2:1. FC Saarbrücken:1. FC Köln,de.1,1963-64,1. FC Saarbrücken,1. FC Köln,0,2
1963-08-24,1963-64:de.1:3:TSV 1860 München:Eintracht Braunschweig,de.1,1963-64,TSV 1860 München,Eintracht Braunschweig,1,1
1963-08-24,1963-64:de.1:4:Eintracht Frankfurt:1. FC Kaiserslautern,de.1,1963-64,Eintracht Frankfurt,1. FC Kaiserslautern,1,1
1963-08-24,1963-64:de.1:5:FC Schalke 04:VfB Stuttgart,de.1,1963-64,FC Schalke 04,VfB Stuttgart,2,0
1963-08-24,1963-64:de.1:6:Preußen Münster:Hamburger SV,de.1,1963-64,Preußen Münster,Hamburger SV,1,1
1963-08-24,1963-64:de.1:7:Karlsruher SC:MSV Duisburg,de.1,1963-64,Karlsruher SC,MSV Duisburg,1,4
1963-08-24,1963-64:de.1:8:Hertha BSC:1. FC Nürnberg,de.1,1963-64,Hertha BSC,1. FC Nürnberg,1,1
1963-08-31,1963-64:de.1:10:Hamburger SV:1. FC Saarbrücken,de.1,1963-64,Hamburger SV,1. FC Saarbrücken,4,2
1963-08-31,1963-64:de.1:11:1. FC Nürnberg:Werder Bremen,de.1,1963-64,1. FC Nürnberg,Werder Bremen,3,0
1963-08-31,1963-64:de.1:12:1. FC Köln:Karlsruher SC,de.1,1963-64,1. FC Köln,Karlsruher SC,4,0
1963-08-31,1963-64:de.1:13:1. FC Kaiserslautern:FC Schalke 04,de.1,1963-64,1. FC Kaiserslautern,FC Schalke 04,2,3
1963-08-31,1963-64:de.1:14:VfB Stuttgart:Hertha BSC,de.1,1963-64,VfB Stuttgart,Hertha BSC,2,0
1963-08-31,1963-64:de.1:15:MSV Duisburg:Eintracht Frankfurt,de.1,1963-64,MSV Duisburg,Eintracht Frankfurt,3,1
1963-08-31,1963-64:de.1:16:Eintracht Braunschweig:Preußen Münster,de.1,1963-64,Eintracht Braunschweig,Preußen Münster,1,0
1963-08-31,1963-64:de.1:9:Borussia Dortmund:TSV 1860 München,de.1,1963-64,Borussia Dortmund,TSV 1860 München,3,3
1963-09-07,1963-64:de.1:17:TSV 1860 München:1. FC Köln,de.1,1963-64,TSV 1860 München,1. FC Köln,1,3
1963-09-07,1963-64:de.1:18:Karlsruher SC:Hamburger SV,de.1,1963-64,Karlsruher SC,Hamburger SV,0,4
1963-09-07,1963-64:de.1:19:Eintracht Frankfurt:1. FC Nürnberg,de.1,1963-64,Eintracht Frankfurt,1. FC Nürnberg,2,3
1963-09-07,1963-64:de.1:20:FC Schalke 04:Borussia Dortmund,de.1,1963-64,FC Schalke 04,Borussia Dortmund,3,1
1963-09-07,1963-64:de.1:21:Werder Bremen:VfB Stuttgart,de.1,1963-64,Werder Bremen,VfB Stuttgart,2,2
1963-09-07,1963-64:de.1:22:Hertha BSC:1. FC Kaiserslautern,de.1,1963-64,Hertha BSC,1. FC Kaiserslautern,2,2
1963-09-07,1963-64:de.1:23:Preußen Münster:MSV Duisburg,de.1,1963-64,Preußen Münster,MSV Duisburg,4,2
1963-09-07,1963-64:de.1:24:1. FC Saarbrücken:Eintracht Braunschweig,de.1,1963-64,1. FC Saarbrücken,Eintracht Braunschweig,2,2
1963-09-14,1963-64:de.1:25:1. FC Köln:FC Schalke 04,de.1,1963-64,1. FC Köln,FC Schalke 04,2,2
1963-09-14,1963-64:de.1:26:1. FC Nürnberg:Preußen Münster,de.1,1963-64,1. FC Nürnberg,Preußen Münster,2,2
