competition_id,season,source_season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Country,League,AvgCA,AvgCD,AvgCH,B365CA,B365CD,B365CH,BFECA,BFECD,BFECH,MaxCA,MaxCD,MaxCH,PSCA,PSCD,PSCH,Season
BRA_SerieA,2021,2021,regular_league,BRA,29/05/2021,23:00,Cuiaba,Juventude,2,2,D,Brazil,Serie A,3.51,3.06,2.21,,,,,,,3.79,3.25,2.27,3.69,3.11,2.27,2021
BRA_SerieA,2021,2021,regular_league,BRA,30/05/2021,00:00,Bahia,Santos,3,0,H,Brazil,Serie A,3.09,3.15,2.36,,,,,,,3.21,3.41,2.53,3.2,3.13,2.49,2021
BRA_SerieA,2021,2021,regular_league,BRA,30/05/2021,01:00,Sao Paulo,Fluminense,0,0,D,Brazil,Serie A,4.65,3.12,1.9,,,,,,,5.31,3.5,1.97,5.16,3.26,1.87,2021
BRA_SerieA,2021,2021,regular_league,BRA,30/05/2021,15:00,Atletico-MG,Fortaleza,1,2,A,Brazil,Serie A,6.98,4.14,1.47,,,,,,,8.1,4.42,1.53,7.31,4.42,1.48,2021
BRA_SerieA,2021,2021,regular_league,BRA,30/05/2021,20:00,Ceara,Gremio,3,2,H,Brazil,Serie A,2.16,3.09,3.62,,,,,,,2.23,3.29,3.91,2.19,3.23,3.74,2021
BRA_SerieA,2021,2021,regular_league,BRA,30/05/2021,20:00,Flamengo RJ,Palmeiras,1,0,H,Brazil,Serie A,4.33,3.52,1.82,,,,,,,4.77,3.76,1.88,4.61,3.61,1.85,2021
BRA_SerieA,2021,2021,regular_league,BRA,30/05/2021,22:15,Athletico-PR,America MG,1,0,H,Brazil,Serie A,3.18,2.95,2.44,,,,,,,3.37,3.25,2.57,3.33,2.96,2.53,2021
BRA_SerieA,2021,2021,regular_league,BRA,30/05/2021,22:15,Chapecoense-SC,Bragantino,0,3,A,Brazil,Serie A,2.02,3.25,3.88,,,,,,,2.08,3.33,4.23,2.03,3.33,4.14,2021
BRA_SerieA,2021,2021,regular_league,BRA,30/05/2021,22:15,Corinthians,Atletico GO,0,1,A,Brazil,Serie A,3.9,3.22,2.01,,,,,,,4.2,3.4,2.1,4.09,3.3,2.06,2021
BRA_SerieA,2021,2021,regular_league,BRA,31/05/2021,00:30,Internacional,Sport Recife,2,2,D,Brazil,Serie A,9.41,5.07,1.32,,,,,,,11.07,5.5,1.36,10.8,5.37,1.32,2021
BRA_SerieA,2021,2021,regular_league,BRA,05/06/2021,23:00,Atletico GO,Sao Paulo,2,0,H,Brazil,Serie A,2.41,2.84,3.38,,,,,,,2.51,3.1,3.65,2.51,2.87,3.49,2021
BRA_SerieA,2021,2021,regular_league,BRA,06/06/2021,01:00,Bragantino,Bahia,3,3,D,Brazil,Serie A,4.05,3.31,1.95,,,,,,,4.33,3.54,2.01,4.27,3.39,1.98,2021
BRA_SerieA,2021,2021,regular_league,BRA,06/06/2021,01:00,Santos,Ceara,3,1,H,Brazil,Serie A,4,3.32,1.96,,,,,,,4.58,3.5,2.08,4.46,3.37,1.94,2021
BRA_SerieA,2021,2021,regular_league,BRA,06/06/2021,15:00,Fluminense,Cuiaba,1,0,H,Brazil,Serie A,5.31,3.45,1.71,,,,,,,6,3.66,1.8,5.99,3.49,1.71,2021
BRA_SerieA,2021,2021,regular_league,BRA,06/06/2021,20:00,America MG,Corinthians,0,1,A,Brazil,Serie A,3.81,3.03,2.12,,,,,,,4.12,3.41,2.25,4.12,3.06,2.15,2021
BRA_SerieA,2021,2021,regular_league,BRA,06/06/2021,20:00,Fortaleza,Internacional,5,1,H,Brazil,Serie A,2.9,2.93,2.66,,,,,,,3.06,3.17,2.85,3.06,2.99,2.69,2021
BRA_SerieA,2021,2021,regular_league,BRA,06/06/2021,22:15,Juventude,Athletico-PR,0,3,A,Brazil,Serie A,2.7,2.95,2.82,,,,,,,2.88,3.1,3.02,2.8,3.01,2.92,2021
BRA_SerieA,2021,2021,regular_league,BRA,06/06/2021,22:15,Palmeiras,Chapecoense-SC,3,1,H,Brazil,Serie A,8.91,4.51,1.37,,,,,,,10.29,5.08,1.41,10.19,4.68,1.38,2021
BRA_SerieA,2021,2021,regular_league,BRA,07/06/2021,00:30,Sport Recife,Atletico-MG,0,1,A,Brazil,Serie A,1.9,3.33,4.23,,,,,,,2.01,3.5,4.75,1.92,3.44,4.49,2021
BRA_SerieA,2021,2021,regular_league,BRA,12/06/2021,23:00,Palmeiras,Corinthians,1,1,D,Brazil,Serie A,4.36,3.3,1.88,,,,,,,5,3.55,1.99,4.8,3.36,1.89,2021
BRA_SerieA,2021,2021,regular_league,BRA,12/06/2021,23:00,Santos,Juventude,0,0,D,Brazil,Serie A,5.51,3.73,1.63,,,,,,,6.32,4,1.68,5.82,3.85,1.65,2021
BRA_SerieA,2021,2021,regular_league,BRA,13/06/2021,20:00,Atletico-MG,Sao Paulo,1,0,H,Brazil,Serie A,3.6,3.19,2.12,,,,,,,3.83,3.37,2.22,3.78,3.23,2.17,2021
BRA_SerieA,2021,2021,regular_league,BRA,13/06/2021,20:00,Flamengo RJ,America MG,2,0,H,Brazil,Serie A,6.71,4.07,1.5,,,,,,,7.5,4.3,1.53,7.26,4.14,1.52,2021
BRA_SerieA,2021,2021,regular_league,BRA,13/06/2021,20:00,Gremio,Athletico-PR,0,1,A,Brazil,Serie A,4.78,3.25,1.83,,,,,,,5.14,3.5,1.9,5.04,3.27,1.88,2021
BRA_SerieA,2021,2021,regular_league,BRA,14/06/2021,00:30,Bahia,Internacional,0,1,A,Brazil,Serie A,2.8,3.19,2.54,,,,,,,2.94,3.32,2.7,2.86,3.32,2.61,2021
BRA_SerieA,2021,2021,regular_league,BRA,14/06/2021,00:30,Bragantino,Fluminense,2,2,D,Brazil,Serie A,3.94,3.26,1.99,,,,,,,4.3,3.45,2.08,4.29,3.32,2,2021
BRA_SerieA,2021,2021,regular_league,BRA,14/06/2021,00:30,Chapecoense-SC,Ceara,0,0,D,Brazil,Serie A,2.37,3.04,3.22,,,,,,,2.45,3.26,3.56,2.42,3.11,3.36,2021
BRA_SerieA,2021,2021,regular_league,BRA,14/06/2021,00:30,Fortaleza,Sport Recife,1,0,H,Brazil,Serie A,5.62,3.45,1.68,,,,,,,6.1,3.79,1.74,5.92,3.55,1.7,2021
BRA_SerieA,2021,2021,regular_league,BRA,16/06/2021,23:00,Internacional,Atletico-MG,0,1,A,Brazil,Serie A,2.88,3.12,2.5,,,,,,,3.12,3.3,2.63,3.05,3.2,2.54,2021
BRA_SerieA,2021,2021,regular_league,BRA,16/06/2021,23:00,Sao Paulo,Chapecoense-SC,1,1,D,Brazil,Serie A,8.64,4.88,1.35,,,,,,,9.86,5.26,1.38,9.07,5.26,1.36,2021
BRA_SerieA,2021,2021,regular_league,BRA,17/06/2021,00:30,Corinthians,Bragantino,1,2,A,Brazil,Serie A,3.07,2.95,2.51,,,,,,,3.29,3.13,2.68,3.18,3.03,2.57,2021
BRA_SerieA,2021,2021,regular_league,BRA,17/06/2021,01:30,Juventude,Palmeiras,0,3,A,Brazil,Serie A,1.76,3.39,5,,,,,,,1.85,3.6,5.79,1.8,3.45,5.22,2021
BRA_SerieA,2021,2021,regular_league,BRA,17/06/2021,20:00,America MG,Cuiaba,0,0,D,Brazil,Serie A,4.37,3.07,1.97,,,,,,,4.7,3.28,2.06,4.63,3.1,2.01,2021
BRA_SerieA,2021,2021,regular_league,BRA,17/06/2021,20:00,Ceara,Bahia,1,2,A,Brazil,Serie A,3.02,3.04,2.48,,,,,,,3.15,3.18,2.58,3.11,3.14,2.55,2021
BRA_SerieA,2021,2021,regular_league,BRA,17/06/2021,23:00,Atletico GO,Fortaleza,0,0,D,Brazil,Serie A,3.22,2.82,2.51,,,,,,,3.42,3.1,2.6,3.37,2.86,2.59,2021
BRA_SerieA,2021,2021,regular_league,BRA,17/06/2021,23:00,Fluminense,Santos,1,0,H,Brazil,Serie A,3.86,3.12,2.07,,,,,,,4.1,3.4,2.16,3.98,3.2,2.13,2021
BRA_SerieA,2021,2021,regular_league,BRA,17/06/2021,23:00,Sport Recife,Gremio,1,0,H,Brazil,Serie A,1.84,3.39,4.45,,,,,,,1.93,3.57,5,1.85,3.55,4.71,2021
BRA_SerieA,2021,2021,regular_league,BRA,20/06/2021,01:00,Flamengo RJ,Bragantino,2,3,A,Brazil,Serie A,5.33,3.78,1.63,,,,,,,6,4.01,1.68,5.64,4.01,1.64,2021
