league_id,season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,AC,AF,AHCh,AHh,AR,AS,AST,AY,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,B365<2.5,B365>2.5,B365A,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,BWA,BWCA,BWCD,BWCH,BWD,BWH,Div,HC,HF,HR,HS,HST,HY,IWA,IWCA,IWCD,IWCH,IWD,IWH,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH
ENG_PremierLeague,2023/24,regular_league,E0,11/08/2023,20:00,Burnley,Man City,0,3,A,0,2,A,5,8,1.5,1.5,0,17,8,0,2.27,1.65,1.35,2.03,1.85,2.28,1.64,1.33,1.95,1.92,5.45,9.27,5.35,9.02,2.2,1.67,1.33,2.07,1.86,2.2,1.67,1.33,1.98,1.95,5.25,9,5.5,8,1.34,1.33,5.25,8.75,5.25,8.75,E0,6,11,1,6,1,0,1.35,1.35,5.25,8.5,5.5,8,2.4,1.71,1.39,2.09,1.93,2.45,1.73,1.36,,,5.81,10.5,5.68,9.5,2.29,1.68,2.07,1.86,2.35,1.65,1.97,1.95,1.37,1.33,5.81,9.62,5.51,8.58,C Pawson,1.33,1.3,5.25,10.5,5.25,9.5,1.25,1.29,4.6,7.5,5,8
ENG_PremierLeague,2023/24,regular_league,E0,12/08/2023,12:30,Arsenal,Nott'm Forest,2,1,H,2,0,H,3,12,-2,-2,0,6,2,2,2.85,1.42,15.67,1.99,1.87,2.63,1.49,15.98,1.92,1.95,7.43,1.19,7.64,1.18,2.75,1.44,15,2.02,1.88,2.63,1.5,15,1.98,1.95,7,1.18,7,1.18,15.5,14.5,7,1.18,7.5,1.17,E0,8,12,0,15,7,2,14,14,7,1.2,7.25,1.2,2.98,1.45,17.5,2.06,1.91,2.79,1.52,19,2.09,2.01,8.4,1.22,8.5,1.21,2.93,1.42,2.01,1.88,2.65,1.49,1.97,1.93,15.67,16,8,1.19,7.86,1.18,M Oliver,17,13,7,1.22,7.5,1.14,12,12,6.5,1.12,6.5,1.12
ENG_PremierLeague,2023/24,regular_league,E0,12/08/2023,15:00,Bournemouth,West Ham,1,1,D,0,0,D,4,14,0,0,0,16,3,4,1.94,1.88,2.64,1.92,1.94,2.12,1.74,2.59,1.91,1.96,3.53,2.7,3.44,2.69,2,1.9,2.55,1.95,1.95,2.1,1.73,2.6,1.91,2.02,3.5,2.63,3.4,2.7,2.55,2.5,3.5,2.65,3.4,2.65,E0,10,9,0,14,5,1,2.6,2.6,3.5,2.6,3.45,2.7,2.03,1.95,2.75,1.99,1.98,2.23,1.83,2.7,1.96,2.06,3.67,2.88,3.62,2.8,1.99,1.9,1.95,1.95,2.18,1.76,1.92,2.01,2.71,2.63,3.6,2.75,3.47,2.7,P Bankes,2.63,2.6,3.5,2.63,3.3,2.63,2.3,2.45,3.2,2.5,3.2,2.62
ENG_PremierLeague,2023/24,regular_league,E0,12/08/2023,15:00,Brighton,Luton,4,1,H,1,0,H,7,12,-1.75,-1.5,0,9,3,2,2.34,1.61,9.61,1.93,1.93,2.48,1.55,10.91,1.86,2,5.99,1.28,5.52,1.33,2.3,1.62,9,1.95,1.95,2.5,1.53,11,1.92,2.01,6.5,1.25,5.5,1.33,9,11,6,1.26,5.5,1.32,E0,6,11,0,27,12,2,8.5,9.5,5.5,1.3,5.25,1.35,2.45,1.65,10.5,2,1.98,2.66,1.62,13,1.93,2.14,6.59,1.34,6,1.36,2.4,1.62,1.95,1.95,2.54,1.56,1.91,2,9.61,11.36,6.36,1.27,5.65,1.33,D Coote,10,13,5.75,1.25,5.25,1.29,8.5,9,5.5,1.22,4.6,1.25
ENG_PremierLeague,2023/24,regular_league,E0,12/08/2023,15:00,Everton,Fulham,0,1,A,0,0,D,4,6,-0.25,-0.25,0,9,2,2,1.86,1.97,3.3,1.93,1.92,1.71,2.17,3.27,1.88,1.98,3.28,2.32,3.43,2.24,1.89,2.01,3.3,1.97,1.93,1.73,2.1,3.2,1.87,2.06,3.2,2.3,3.4,2.2,3.25,3.1,3.2,2.35,3.4,2.2,E0,10,12,0,19,9,0,3.25,3.15,3.25,2.35,3.4,2.25,1.92,2.04,3.45,2,1.97,1.81,2.26,3.56,1.99,2.08,3.42,2.42,3.57,2.3,1.89,2,1.95,1.95,1.72,2.23,1.88,2.04,3.35,3.3,3.32,2.39,3.45,2.27,S Attwell,3.25,3.2,3.2,2.38,3.3,2.2,3,3,3.2,2.1,3.2,2.1
ENG_PremierLeague,2023/24,regular_league,E0,12/08/2023,15:00,Sheffield United,Crystal Palace,0,1,A,0,0,D,5,11,0.25,0.25,0,24,8,0,1.68,2.21,2.41,2.05,1.81,1.53,2.54,2.16,1.83,2.05,3.16,3.81,3.24,3.12,1.67,2.2,2.38,2.06,1.84,1.53,2.5,2.15,1.83,2.1,3.2,3.6,3.3,3,2.4,2.15,3.1,3.75,3.25,3,E0,5,18,0,8,1,3,2.4,2.15,3.15,3.7,3.25,3,1.74,2.28,2.48,2.11,1.86,1.57,2.65,2.23,1.86,2.12,3.28,4,3.42,3.31,1.69,2.26,2.06,1.85,1.56,2.59,1.84,2.1,2.43,2.17,3.22,3.98,3.22,3.28,J Brooks,2.38,2.1,3.1,3.9,3.1,3.1,2.3,2.05,2.88,3.5,3.1,2.75
ENG_PremierLeague,2023/24,regular_league,E0,12/08/2023,17:30,Newcastle,Aston Villa,5,1,H,2,1,H,5,17,-0.75,-0.75,0,16,6,4,2.09,1.76,4.61,1.89,1.97,2.22,1.68,5.17,2.06,1.82,4.14,1.65,3.88,1.76,2.1,1.73,4.6,1.89,2.01,2.2,1.67,5.25,2.09,1.84,4,1.62,3.75,1.75,4.4,5,4,1.65,3.9,1.73,E0,6,12,0,17,13,4,4.5,5.25,4.1,1.63,3.85,1.75,2.15,1.82,4.9,1.94,2.02,2.34,1.73,5.64,2.13,1.87,4.3,1.71,4.1,1.8,2.11,1.79,1.92,1.99,2.23,1.72,2.09,1.85,4.77,5.29,4.2,1.68,3.92,1.77,A Madley,4.6,5.5,4.1,1.6,3.7,1.73,4.2,4.6,3.8,1.55,3.5,1.67
ENG_PremierLeague,2023/24,regular_league,E0,13/08/2023,14:00,Brentford,Tottenham,2,2,D,2,2,D,6,13,0,0,0,18,6,4,2.18,1.7,2.5,1.86,2.01,2.15,1.72,2.7,1.98,1.89,3.52,2.6,3.63,2.73,2.1,1.73,2.45,1.87,2.03,2.1,1.73,2.63,2.02,1.88,3.6,2.5,3.4,2.75,2.45,2.7,3.4,2.5,3.6,2.7,E0,3,12,0,11,6,1,2.35,2.7,3.5,2.55,3.6,2.85,2.25,1.76,2.6,1.92,2.05,2.29,1.78,2.8,2.05,1.95,3.7,2.81,3.83,2.85,2.23,1.71,1.88,2.03,2.16,1.77,2.03,1.89,2.55,2.8,3.54,2.62,3.65,2.76,R Jones,2.45,2.7,3.5,2.55,3.5,2.7,2.3,2.5,3.25,2.4,3.4,2.5
ENG_PremierLeague,2023/24,regular_league,E0,13/08/2023,16:30,Chelsea,Liverpool,1,1,D,1,1,D,4,12,0.25,0.25,0,13,1,3,2.24,1.67,2.39,2.04,1.81,2.52,1.54,2.26,1.96,1.91,3.75,3.04,3.64,2.87,2.2,1.67,2.38,2.09,1.81,2.5,1.53,2.15,1.92,1.98,3.6,3.1,3.4,2.9,2.35,2.2,3.75,3,3.6,2.8,E0,4,5,0,10,4,3,2.4,2.35,3.5,2.95,3.65,2.75,2.36,1.73,2.48,2.12,1.89,2.66,1.58,2.4,2.08,2.03,3.94,3.45,3.82,3.05,2.28,1.68,2.08,1.83,2.66,1.53,1.93,2,2.4,2.2,3.89,3.21,3.64,2.97,A Taylor,2.3,2.2,3.75,3,3.5,2.88,2.2,2.1,3.4,2.8,3.25,2.75
ENG_PremierLeague,2023/24,regular_league,E0,14/08/2023,20:00,Man United,Wolves,1,0,H,0,0,D,7,10,-1.5,-1.5,0,23,6,3,2.38,1.6,9.85,1.97,1.89,2.37,1.6,10.96,2.05,1.82,6.12,1.27,5.65,1.31,2.3,1.62,9,1.91,1.99,2.3,1.62,10,2,1.8,6,1.25,5.5,1.33,9.5,11,6,1.26,5.75,1.3,E0,8,14,0,15,3,2,9,10,5.75,1.3,5.5,1.33,2.47,1.64,11,2.08,1.99,2.47,1.68,13,2.14,1.88,8.67,1.33,6,1.34,2.44,1.6,1.99,1.92,2.38,1.63,2.08,1.82,9.66,12.25,6.3,1.27,5.79,1.32,S Hooper,10.5,12,6,1.25,5.25,1.29,9,9.5,5.5,1.2,4.8,1.22
