league_id,season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,AC,AF,AHCh,AHh,AR,AS,AST,AY,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,B365<2.5,B365>2.5,B365A,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,BWA,BWCA,BWCD,BWCH,BWD,BWH,Div,HC,HF,HR,HS,HST,HY,IWA,IWCA,IWCD,IWCH,IWD,IWH,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH
FRA_Ligue1,2022/23,regular_league,F1,05/08/2022,20:00,Lyon,Ajaccio,2,1,H,2,1,H,3,18,-1.5,-1.5,1,8,4,6,2.21,1.68,9.65,1.89,1.97,2.27,1.64,8.96,1.86,2.01,5.21,1.34,5.35,1.32,2.2,1.66,8.5,1.93,2,2.2,1.66,8.5,1.85,2.08,5,1.33,5.25,1.33,8,7.5,5.25,1.35,5.25,1.33,F1,4,10,1,11,6,1,9,8.5,5.25,1.35,5.25,1.35,2.31,1.74,11,1.94,2.04,2.47,1.72,10,1.96,2.12,5.7,1.38,5.7,1.36,2.26,1.7,1.91,2.01,2.27,1.7,1.81,2.12,10.75,8.68,5.31,1.38,5.53,1.33,11,9.5,5,1.33,5.25,1.3,10,9.5,4.8,1.33,5.25,1.3
FRA_Ligue1,2022/23,regular_league,F1,06/08/2022,16:00,Strasbourg,Monaco,1,2,A,0,1,A,7,15,-0.25,0,0,24,11,2,1.85,1.97,2.75,2,1.88,1.74,2.12,3.08,1.82,2.06,3.23,2.43,3.36,2.6,1.87,2.03,2.75,2.02,1.91,1.66,2.2,3.2,1.9,2.03,3.2,2.3,3.25,2.62,2.7,3,3.2,2.4,3.3,2.6,F1,3,18,0,11,7,0,2.7,3.05,3.2,2.45,3.3,2.6,1.98,2.09,2.92,2.06,1.93,1.98,2.22,3.28,1.9,2.13,3.52,2.62,3.56,2.7,1.85,2.07,2.05,1.88,1.79,2.12,1.87,2.07,2.86,3.26,3.35,2.42,3.4,2.64,2.7,3,3.2,2.45,3.3,2.6,2.7,3,3.1,2.45,3.25,2.6
FRA_Ligue1,2022/23,regular_league,F1,06/08/2022,20:00,Clermont,Paris SG,0,5,A,0,3,A,6,13,2,1.75,0,18,12,1,3,1.38,1.26,1.9,1.96,2.87,1.42,1.23,2.02,1.83,6.67,12.17,6.53,10.06,3,1.4,1.25,1.94,1.99,3,1.4,1.2,1.99,1.94,7,13,6.5,9.5,1.25,1.21,7,13,6.5,10,F1,0,13,0,7,1,2,1.25,1.25,6.75,11,6.5,10,3.25,1.43,1.3,1.95,2.01,3,1.47,1.29,2.17,1.95,7.4,14.5,7,11.5,3.04,1.41,1.95,1.95,2.85,1.45,1.98,1.93,1.28,1.24,6.77,13.32,6.81,9.88,1.22,1.2,7,13,6.5,11.5,1.24,1.2,6.5,13,6,11
FRA_Ligue1,2022/23,regular_league,F1,07/08/2022,12:00,Toulouse,Nice,1,1,D,1,0,H,3,8,0,0,0,11,4,2,1.96,1.86,2.49,1.81,2.07,1.85,1.97,2.9,2.09,1.8,3.27,2.52,3.41,2.84,1.99,1.91,2.5,1.85,2.08,1.89,2.01,2.87,2.13,1.81,3.25,2.5,3.3,2.87,2.45,2.87,3.25,2.45,3.4,2.8,F1,6,10,0,6,4,1,2.5,2.9,3.25,2.5,3.35,2.85,2.02,1.92,2.57,1.85,2.15,1.94,2.04,3.04,2.15,1.83,3.44,2.68,3.64,2.97,2.01,1.89,1.84,2.1,1.89,2.01,2.14,1.81,2.57,3.04,3.28,2.58,3.43,2.93,2.5,2.88,3.3,2.5,3.3,2.75,2.45,2.88,3.1,2.55,3.4,2.8
FRA_Ligue1,2022/23,regular_league,F1,07/08/2022,14:00,Angers,Nantes,0,0,D,0,0,D,6,13,0.25,0,0,14,4,3,1.72,2.13,2.71,1.92,1.94,1.7,2.17,2.41,2.07,1.81,3.21,3.11,3.22,2.73,1.72,2.1,2.7,1.96,1.97,1.66,2.2,2.37,2.08,1.85,3.25,3,3.25,2.7,2.7,2.4,3.1,3.1,3.2,2.65,F1,3,15,0,16,6,3,2.7,2.4,3.2,3.1,3.25,2.7,1.8,2.23,2.82,1.98,1.99,1.76,2.24,2.5,2.12,1.87,3.35,3.29,3.3,2.84,1.72,2.23,1.93,1.99,1.72,2.23,2.09,1.83,2.75,2.46,3.28,3.22,3.29,2.82,2.7,2.4,3.2,3.1,3.13,2.7,2.55,2.3,3.2,3.2,3.2,2.8
FRA_Ligue1,2022/23,regular_league,F1,07/08/2022,14:00,Lens,Brest,3,2,H,1,0,H,3,14,-1,-1,0,6,4,4,2.23,1.66,5.54,1.92,1.93,1.99,1.83,5.53,1.81,2.07,4.07,1.61,4.43,1.56,2.2,1.66,5.25,1.95,1.98,2.01,1.89,5.25,1.86,2.07,4.2,1.6,4.33,1.57,5.75,5.5,3.9,1.62,4.4,1.53,F1,6,16,0,17,7,2,5.5,5.25,4.1,1.63,4.4,1.55,2.31,1.73,6,1.97,1.99,2.12,1.9,5.9,1.87,2.13,4.3,1.65,4.7,1.6,2.28,1.69,1.93,1.99,2.05,1.87,1.83,2.1,5.51,5.81,4.23,1.62,4.6,1.6,6,5.75,4,1.6,4.2,1.53,5.8,5.5,3.9,1.6,4.2,1.53
FRA_Ligue1,2022/23,regular_league,F1,07/08/2022,14:00,Lille,Auxerre,4,1,H,3,0,H,2,9,-0.75,-0.75,0,10,2,1,1.98,1.83,4.73,1.95,1.91,1.93,1.89,5.43,2.05,1.82,3.99,1.63,3.93,1.72,2.04,1.86,4.5,2,1.93,1.98,1.92,5.25,2.02,1.77,4.2,1.6,4,1.7,4.5,5.25,3.8,1.63,3.9,1.73,F1,7,10,0,16,7,2,4.6,5.25,4,1.63,3.95,1.73,2.07,1.92,5.04,2.01,1.97,2,1.99,6,2.13,1.87,4.29,1.69,4.1,1.78,2.07,1.85,1.97,1.95,1.98,1.93,2.13,1.8,5.04,5.86,4.17,1.63,4.05,1.73,5,6,4,1.57,3.8,1.67,4.75,5.8,3.9,1.6,3.75,1.73
FRA_Ligue1,2022/23,regular_league,F1,07/08/2022,14:00,Montpellier,Troyes,3,2,H,2,2,D,6,10,-0.25,-0.25,0,15,10,0,1.9,1.91,3.35,1.97,1.89,1.65,2.25,3.73,2.03,1.84,3.2,2.14,3.42,2.19,1.93,1.97,3.3,2.01,1.92,1.66,2.2,3.6,2.03,1.9,3.2,2.15,3.5,2.2,3.3,3.7,2.95,2.1,3.1,2.2,F1,3,13,0,17,6,1,3.35,3.6,3.25,2.15,3.35,2.2,1.99,1.97,3.49,2.02,1.93,1.72,2.33,4.04,2.07,1.92,3.3,2.25,3.58,2.25,1.94,1.96,2.02,1.91,1.7,2.27,2.02,1.91,3.49,3.76,3.21,2.25,3.53,2.21,3.3,3.6,3.2,2.15,3.4,2.15,3.4,3.7,3.1,2.15,3.3,2.15
FRA_Ligue1,2022/23,regular_league,F1,07/08/2022,16:05,Rennes,Lorient,0,1,A,0,0,D,2,5,-1.25,-1.5,0,8,2,1,2.31,1.62,8.85,1.87,1.99,2.07,1.77,6.44,1.8,2.07,4.63,1.48,5.25,1.34,2.3,1.61,8.5,1.9,2.03,2,1.8,6,1.73,2.08,4.75,1.5,5.25,1.36,8.75,6.25,4.6,1.49,5.25,1.33,F1,7,11,0,21,6,3,8.25,6.5,4.6,1.47,5.25,1.35,2.4,1.69,10,1.91,2.04,2.17,1.9,7.82,1.87,2.15,5,1.53,5.6,1.37,2.37,1.65,1.89,2.04,2.07,1.83,1.79,2.15,9.19,6.18,4.76,1.53,5.56,1.36,10,7,4.33,1.45,5.25,1.3,9.5,6.5,4.33,1.47,5,1.32
FRA_Ligue1,2022/23,regular_league,F1,07/08/2022,19:45,Marseille,Reims,4,1,H,2,0,H,7,10,-1,-1,0,16,6,0,1.89,1.92,6.05,1.86,2,1.86,1.97,5.77,1.8,2.07,3.93,1.62,4.07,1.57,1.94,1.96,5.5,1.89,2.04,1.87,2.03,5.25,1.7,2.1,3.8,1.61,4.2,1.57,6.25,5.5,3.8,1.63,4.1,1.53,F1,6,14,0,16,6,2,6,6,3.9,1.6,4.1,1.57,1.97,2.02,6.53,1.93,2.07,1.98,2.06,6.2,1.9,2.18,4.34,1.68,4.33,1.63,1.92,1.99,1.87,2.07,1.88,2.03,1.79,2.15,6.32,5.94,3.93,1.66,4.1,1.61,6.5,6,3.8,1.62,3.9,1.53,6,5.8,3.8,1.6,4,1.55
FRA_Ligue1,2022/23,regular_league,F1,12/08/2022,20:00,Nantes,Lille,1,1,D,1,0,H,11,10,0.25,0.25,0,16,5,4,1.87,1.95,2.4,2.04,1.82,1.79,2.04,2.33,2.01,1.86,3.32,3.15,3.37,3.02,1.92,1.98,2.4,2.05,1.85,1.84,2.06,2.3,2.03,1.87,3.3,3.1,3.4,3,2.37,2.3,3.3,3.1,3.3,2.95,F1,5,14,0,10,1,1,2.45,2.35,3.3,3.1,3.35,2.95,1.95,2.06,2.48,2.09,1.88,1.86,2.11,2.41,2.06,1.9,3.46,3.33,3.52,3.15,1.9,2.01,2.09,1.85,1.81,2.09,2.06,1.88,2.44,2.4,3.4,3.2,3.42,3.12,2.3,2.3,3.3,3.13,3.4,3.1,2.4,2.35,3.25,3.1,3.3,2.9
FRA_Ligue1,2022/23,regular_league,F1,13/08/2022,16:00,Monaco,Rennes,1,1,D,0,0,D,6,11,-0.25,-0.25,0,24,8,3,2.08,1.76,3.26,1.99,1.87,2.15,1.72,3.48,2.05,1.82,3.62,2.09,3.6,2.17,2.1,1.72,3.25,2.01,1.89,2.2,1.66,3.5,2.06,1.84,3.6,2.05,3.5,2.15,3.1,3.6,3.4,1.98,3.4,2.2,F1,1,6,1,12,4,0,3.15,3.35,3.6,2.1,3.55,2.2,2.2,1.83,3.48,2.03,1.92,2.34,1.81,3.8,2.19,1.87,3.76,2.19,3.8,2.24,2.12,1.79,2.01,1.92,2.17,1.76,2.06,1.87,3.36,3.51,3.65,2.16,3.68,2.21,3.3,3.4,3.6,2.1,3.5,2.1,3.3,3.3,3.6,2.1,3.4,2.15
FRA_Ligue1,2022/23,regular_league,F1,13/08/2022,20:00,Paris SG,Montpellier,5,2,H,2,0,H,0,18,-3.25,-2.75,0,7,4,1,4.25,1.22,24.23,1.94,1.91,5.33,1.16,31.81,1.92,1.94,14.68,1.06,11.08,1.1,4.33,1.22,21,1.96,1.94,5.5,1.14,23,1.97,1.93,17,1.05,12,1.08,23,29,13,1.08,11.5,1.1,F1,11,15,0,20,10,2,22,21,14,1.07,11,1.09,4.6,1.25,31,1.99,1.97,6.5,1.2,43,2.01,2.05,21,1.08,14,1.11,,,1.95,1.93,,,1.99,1.93,25.32,33.14,16.13,1.07,11.52,1.1,29,41,15,1.04,12,1.06,26,41,13,1.04,11,1.07
FRA_Ligue1,2022/23,regular_league,F1,14/08/2022,14:00,Ajaccio,Lens,0,0,D,0,0,D,3,18,0.25,0.25,0,12,3,2,1.67,2.22,2.36,2.02,1.84,1.58,2.39,2.34,2,1.87,3.15,3.32,3.25,3.16,1.66,2.2,2.3,2.04,1.86,1.53,2.5,2.3,2.05,1.85,3.1,3.25,3.25,3.2,2.35,2.35,3.1,3.25,3.2,3.1,F1,1,16,0,9,2,5,2.35,2.35,3.15,3.3,3.25,3.15,1.71,2.35,2.46,2.08,1.88,1.67,2.52,2.4,2.08,1.91,3.26,3.57,3.37,3.35,1.7,2.26,2.05,1.88,1.63,2.41,2.02,1.91,2.4,2.38,3.22,3.43,3.29,3.31,2.3,2.38,3.1,3.3,3.13,3.25,2.38,2.25,3,3.5,3.2,3.1
FRA_Ligue1,2022/23,regular_league,F1,14/08/2022,14:00,Auxerre,Angers,2,2,D,2,1,H,5,16,-0.25,-0.25,0,11,2,3,1.74,2.11,3.42,1.95,1.9,1.81,2.02,3.08,1.81,2.06,3.26,2.41,3.27,2.23,1.72,2.1,3.5,2,1.9,1.89,2.01,3.1,1.84,2.06,3.3,2.37,3.25,2.2,3.3,2.95,3.2,2.45,3.3,2.2,F1,4,10,1,11,4,5,3.35,3,3.3,2.45,3.3,2.25,1.8,2.23,3.65,2.02,1.95,1.9,2.14,3.49,1.88,2.13,3.4,2.5,3.48,2.31,1.77,2.16,1.97,1.95,1.87,2.04,1.85,2.09,3.64,3.2,3.32,2.45,3.18,2.31,3.5,3.1,3.3,2.38,3.25,2.15,3.4,3,3.2,2.4,3.25,2.2
