league_id,season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,AC,AF,AHCh,AHh,AR,AS,AST,AY,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,B365<2.5,B365>2.5,B365A,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,BWA,BWCA,BWCD,BWCH,BWD,BWH,Div,HC,HF,HR,HS,HST,HY,IWA,IWCA,IWCD,IWCH,IWD,IWH,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH
GER_Bundesliga,2023/24,regular_league,D1,18/08/2023,19:30,Werder Bremen,Bayern Munich,0,4,A,0,1,A,6,11,1.75,1.75,0,25,10,1,3.34,1.33,1.32,2.01,1.84,3.29,1.34,1.31,2,1.85,6.05,8.69,6.09,8.5,3.4,1.33,1.3,2.06,1.87,3.2,1.36,1.3,2.08,1.85,6,8.5,6.5,7.5,1.31,1.3,6,8.5,6,8,D1,0,16,0,6,1,2,1.4,1.4,5.25,7,5.25,7,3.55,1.37,1.4,,,3.58,1.4,1.4,2.09,1.92,6.5,9.5,6.5,9.5,3.41,1.35,2.07,1.84,3.38,1.34,2.03,1.88,1.33,1.31,6.3,8.8,6.36,8.59,1.3,1.29,6,9.5,6,9,1.22,1.22,5.5,8,5.5,8
GER_Bundesliga,2023/24,regular_league,D1,19/08/2023,14:30,Augsburg,M'gladbach,4,4,D,3,3,D,7,14,0.25,0,0,9,6,2,2.34,1.61,2.47,1.84,2.02,2.31,1.62,2.42,2.09,1.77,3.67,2.79,3.69,2.72,2.3,1.62,2.45,1.87,2.03,2.3,1.62,2.38,2.11,1.82,3.6,2.8,3.6,2.7,2.45,2.4,3.6,2.75,3.5,2.7,D1,8,9,0,20,8,1,2.45,2.45,3.65,2.75,3.6,2.75,2.43,1.66,2.54,1.9,2.07,2.4,1.67,2.51,2.18,1.83,3.87,2.92,3.88,2.8,2.39,1.63,1.87,2.04,2.33,1.67,2.11,1.83,2.51,2.43,3.72,2.92,3.78,2.74,2.45,2.38,3.75,2.75,3.7,2.7,2.3,2.3,3.4,2.5,3.4,2.5
GER_Bundesliga,2023/24,regular_league,D1,19/08/2023,14:30,Hoffenheim,Freiburg,1,2,A,0,2,A,2,9,-0.25,-0.25,0,17,8,1,2.24,1.66,2.94,1.82,2.03,2.26,1.65,3.15,1.95,1.91,3.68,2.2,3.63,2.35,2.2,1.67,2.9,1.84,2.06,2.2,1.67,3.1,2.02,1.91,3.6,2.15,3.6,2.3,3.1,3.1,3.6,2.2,3.5,2.25,D1,4,9,0,24,5,0,2.95,3,3.6,2.25,3.55,2.3,2.32,1.71,3.1,1.88,2.11,2.36,1.7,3.32,2.02,1.98,3.87,2.3,3.85,2.5,2.3,1.67,1.82,2.11,2.28,1.69,2.01,1.92,2.92,3.32,3.74,2.2,3.67,2.43,2.88,3.13,3.75,2.15,3.6,2.38,2.8,2.8,3.4,2.1,3.4,2.1
GER_Bundesliga,2023/24,regular_league,D1,19/08/2023,14:30,Leverkusen,RB Leipzig,3,2,H,2,1,H,5,10,-0.25,0,0,13,6,2,2.2,1.68,2.78,2.05,1.82,2.19,1.68,2.81,1.78,2.09,3.6,2.44,3.62,2.47,2.2,1.67,2.75,2.07,1.83,2.2,1.67,2.8,1.82,2.11,3.6,2.38,3.6,2.45,2.7,2.8,3.5,2.37,3.6,2.45,D1,4,13,0,11,7,1,2.7,2.7,3.6,2.5,3.55,2.5,2.28,1.77,2.91,2.11,1.89,2.32,1.75,2.99,1.84,2.14,3.78,2.5,3.75,2.56,2.24,1.7,2.09,1.83,2.2,1.74,1.84,2.14,2.85,2.98,3.63,2.48,3.61,2.5,2.75,2.8,3.6,2.4,3.6,2.45,2.6,2.6,3.25,2.3,3.25,2.3
GER_Bundesliga,2023/24,regular_league,D1,19/08/2023,14:30,Stuttgart,Bochum,5,0,H,2,0,H,0,12,-0.75,-0.75,0,4,1,1,2.29,1.64,4.69,1.98,1.86,2.26,1.64,4.32,1.89,1.95,4.02,1.76,4.17,1.69,2.3,1.62,4.5,2.02,1.88,2.3,1.62,4.2,1.95,1.98,4.2,1.73,4.33,1.65,4.75,4.2,3.9,1.77,4,1.68,D1,7,5,0,19,9,1,4.5,4.2,4.1,1.77,4.1,1.7,2.38,1.71,5,2.04,1.95,2.35,1.7,4.52,1.96,2.06,4.2,1.85,4.4,1.77,2.32,1.66,2.01,1.89,2.33,1.67,1.93,1.99,4.78,4.52,4.16,1.78,4.25,1.7,4.6,4.33,4.1,1.73,4.1,1.7,4.33,4,3.6,1.67,3.9,1.57
GER_Bundesliga,2023/24,regular_league,D1,19/08/2023,14:30,Wolfsburg,Heidenheim,2,0,H,2,0,H,7,9,-1,-1,0,13,1,0,2.34,1.61,5.19,1.84,2.01,2.39,1.59,5.03,1.8,2.07,4.28,1.64,4.31,1.62,2.3,1.62,5.25,1.87,2.03,2.38,1.57,5,1.81,2.13,4.2,1.62,4.2,1.6,5.25,4.8,4.1,1.65,4.2,1.61,D1,1,10,0,18,8,3,5.25,4.9,4.2,1.65,4.2,1.63,2.44,1.66,5.5,1.88,2.07,2.49,1.67,5.25,1.85,2.14,4.5,1.69,4.6,1.66,2.39,1.63,1.88,2.03,2.49,1.6,1.82,2.1,5.24,5.16,4.42,1.66,4.49,1.62,5,5,4.33,1.62,4.4,1.6,4.75,4.75,4,1.5,4,1.5
GER_Bundesliga,2023/24,regular_league,D1,19/08/2023,17:30,Dortmund,FC Koln,1,0,H,0,0,D,3,11,-1.25,-1.25,0,11,4,0,2.83,1.43,7.24,2.03,1.82,2.73,1.46,6.33,1.89,1.96,4.95,1.46,5.21,1.4,2.75,1.44,7,2.07,1.83,2.75,1.44,6,1.87,2.06,5,1.45,5,1.4,7,5.75,4.8,1.47,5,1.41,D1,6,13,0,12,2,1,7,6,5,1.47,4.9,1.43,3,1.45,8,2.09,1.87,2.93,1.5,7,1.95,2.06,5.3,1.53,5.6,1.44,2.91,1.43,2.07,1.85,2.81,1.47,1.87,2.06,7.25,6.21,4.98,1.51,5.42,1.41,7,6.5,5,1.44,5.25,1.4,6,5.8,4.5,1.36,4.75,1.33
GER_Bundesliga,2023/24,regular_league,D1,20/08/2023,14:30,Union Berlin,Mainz,4,1,H,2,0,H,1,16,-0.25,-0.5,0,9,3,5,1.75,2.1,3.92,1.85,2.01,1.7,2.19,3.61,2.02,1.84,3.32,2.15,3.45,2.01,1.73,2.1,3.9,1.88,2.02,1.67,2.2,3.5,2.02,1.91,3.4,2.15,3.5,1.95,4,3.4,3.2,2.2,3.4,1.98,D1,3,15,0,12,7,1,3.85,3.5,3.35,2.15,3.45,1.97,1.82,2.16,4.1,1.91,2.05,1.84,2.31,3.93,2.12,1.93,3.5,2.25,3.63,2.06,1.76,2.14,1.88,2.02,1.7,2.27,2.02,1.9,4.02,3.68,3.29,2.24,3.5,2.02,3.8,3.7,3.4,1.93,3.5,2,3.6,3.4,3.1,1.95,3.3,1.85
GER_Bundesliga,2023/24,regular_league,D1,20/08/2023,16:30,Ein Frankfurt,Darmstadt,1,0,H,1,0,H,3,14,-1.25,-1.25,0,11,2,3,2.23,1.67,7.82,2,1.85,2.31,1.62,6.5,1.82,2.04,4.69,1.48,5.12,1.39,2.2,1.67,7.5,2.04,1.86,2.2,1.67,5.75,1.82,2.11,5,1.45,5.25,1.36,8,6,4.5,1.49,4.8,1.38,D1,7,9,0,10,4,2,7.5,6,4.5,1.5,4.9,1.4,2.33,1.71,8.5,2.05,1.9,2.45,1.69,7.5,1.89,2.13,5.16,1.52,5.6,1.43,2.26,1.69,2.04,1.87,2.32,1.67,1.85,2.09,7.44,6.68,4.78,1.49,5.42,1.4,8.5,7.5,4.75,1.4,5,1.36,7.5,6.5,4.33,1.35,4.5,1.3
GER_Bundesliga,2023/24,regular_league,D1,25/08/2023,19:30,RB Leipzig,Stuttgart,5,1,H,0,1,A,4,10,-1,-1,0,8,3,1,2.49,1.54,6.09,2.06,1.81,2.4,1.58,5.4,1.89,1.97,4.43,1.58,4.71,1.51,2.5,1.53,5.75,2.1,1.83,2.3,1.62,4.75,1.83,2.1,4.33,1.62,4.75,1.5,,,,,,,D1,4,12,0,20,11,1,6,5.75,4.4,1.55,4.7,1.5,2.63,1.57,6.71,2.16,1.86,2.7,1.67,6,2.07,2.14,4.8,1.65,5,1.56,2.55,1.56,2.07,1.86,2.38,1.64,1.85,2.08,6.14,5.33,4.33,1.64,4.69,1.53,5.75,5,4.4,1.6,4.75,1.5,5.5,5.5,4.33,1.4,4.33,1.4
