league_id,season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,AC,AF,AHCh,AHh,AR,AS,AST,AY,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,B365<2.5,B365>2.5,B365A,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,BWA,BWCA,BWCD,BWCH,BWD,BWH,Div,HC,HF,HR,HS,HST,HY,IWA,IWCA,IWCD,IWCH,IWD,IWH,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,Referee,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,31/07/2021,13:30,Rangers,Livingston,3,0,H,1,0,H,1,14,-2,-2,0,2,0,5,2.21,1.66,16.79,1.83,1.99,2.19,1.66,17.45,1.81,2.01,6.97,1.16,6.97,1.17,2.2,1.66,17,1.83,2.02,2.2,1.66,21,1.8,2.05,6.5,1.16,6.5,1.18,15,15.5,7,1.16,6.25,1.18,SC0,7,8,0,18,8,0,16,15,6.75,1.2,6.5,1.2,2.3,1.72,21,1.88,2.11,2.33,1.77,21.58,1.85,2.11,7.91,1.2,7.81,1.2,2.29,1.66,1.88,2.02,2.28,1.67,1.85,2.04,20.52,21.44,7.87,1.16,7.77,1.17,J Beaton,17,17,7,1.17,7,1.17,17,19,6.5,1.14,6.5,1.15
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,31/07/2021,15:00,Dundee,St Mirren,2,2,D,1,1,D,11,14,0,0,0,14,5,2,1.69,2.16,2.72,1.95,1.88,1.64,2.25,2.79,1.99,1.85,3.16,2.59,3.23,2.6,1.66,2.2,2.75,1.95,1.9,1.61,2.3,2.8,2.02,1.83,3.25,2.5,3.2,2.55,2.85,2.7,3.2,2.6,3.3,2.4,SC0,8,13,1,11,4,2,2.75,2.85,3.1,2.6,3.25,2.6,1.72,2.25,2.88,2.02,1.93,1.69,2.35,2.96,2.06,1.92,3.28,2.7,3.35,2.76,1.71,2.22,1.97,1.93,1.68,2.28,2.05,1.86,2.77,2.91,3.26,2.65,3.35,2.72,C Napier,2.75,2.75,3.2,2.63,3.2,2.63,2.7,2.87,3,2.5,3.1,2.6
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,31/07/2021,15:00,Ross County,St Johnstone,0,0,D,0,0,D,4,14,0.5,0.5,0,10,2,1,1.64,2.25,2.02,2.01,1.82,1.52,2.51,2.03,2.02,1.81,3.14,4.02,3.29,3.83,1.61,2.3,2,2,1.85,1.53,2.5,2,2.05,1.8,3.2,4,3.3,3.8,2,1.95,3.25,4,3.25,3.8,SC0,0,19,0,4,0,4,2.05,2.05,3.1,4.1,3.3,3.9,1.69,2.4,2.12,2.05,1.89,1.57,2.73,2.14,2.07,1.85,3.35,4.34,3.4,4.09,1.67,2.3,2.05,1.86,1.53,2.63,2.07,1.85,2.05,2.07,3.19,4.32,3.4,4.06,C Steven,2,2,3.2,4,3.25,3.9,1.95,1.95,3.2,4,3.2,3.9
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,31/07/2021,20:00,Hearts,Celtic,2,1,H,1,0,H,5,11,0.5,0.75,0,19,7,0,1.97,1.83,1.71,1.89,1.93,2.06,1.76,1.87,1.88,1.94,3.71,3.89,3.84,4.66,2,1.8,1.7,1.93,1.93,2.1,1.72,1.85,1.88,1.98,3.9,3.8,4,4.5,1.72,1.8,3.75,4,3.7,4.5,SC0,6,4,0,11,4,0,1.7,1.9,3.7,3.85,3.85,4.7,2.04,1.89,1.82,1.95,2,2.17,1.82,1.95,1.92,2.01,3.9,4.15,4,4.9,2.01,1.88,1.94,1.96,2.14,1.77,1.89,2.01,1.75,1.89,3.85,4.13,3.96,4.9,B Madden,1.7,1.9,3.75,3.8,3.9,4.75,1.67,1.85,3.6,3.8,3.9,4.5
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,01/08/2021,15:00,Aberdeen,Dundee United,2,0,H,1,0,H,4,17,-0.75,-0.75,0,5,1,3,1.6,2.31,4.9,1.83,2,1.59,2.34,5.29,1.86,1.96,3.43,1.73,3.48,1.75,1.61,2.3,5.25,1.83,2.02,1.57,2.37,5.5,1.85,2,3.5,1.7,3.5,1.7,4.75,4.75,3.5,1.75,3.5,1.75,SC0,5,12,0,7,3,1,4.9,5.5,3.4,1.73,3.5,1.75,1.67,2.4,5.25,1.9,2.07,1.69,2.44,6.08,1.9,2.07,3.75,1.81,3.62,1.79,1.63,2.37,1.85,2.07,1.62,2.41,1.88,2.02,5.17,5.65,3.48,1.76,3.62,1.78,A Muir,4.8,5,3.5,1.73,3.4,1.75,4.8,5.5,3.4,1.65,3.3,1.75
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,01/08/2021,16:30,Motherwell,Hibernian,2,3,A,2,1,H,4,11,0.25,0.25,0,14,5,3,1.7,2.13,2.14,1.84,1.97,1.68,2.16,2.2,1.9,1.92,3.27,3.32,3.37,3.34,1.72,2.1,2.15,1.85,2,1.66,2.2,2.15,1.93,1.93,3.4,3.25,3.4,3.3,2.15,2.1,3.4,3.3,3.4,3.2,SC0,2,21,0,9,5,5,2.2,2.25,3.25,3.35,3.35,3.35,1.78,2.26,2.25,1.91,2.05,1.76,2.24,2.33,1.98,2,3.41,3.51,3.54,3.56,1.78,2.13,1.86,2.05,1.71,2.22,1.94,1.96,2.16,2.27,3.34,3.47,3.54,3.54,D Munro,2.1,2.2,3.3,3.3,3.3,3.4,2.15,2.15,3.1,3.4,3.2,3.3
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,07/08/2021,12:30,Dundee United,Rangers,1,0,H,0,0,D,8,8,1.5,1.75,0,14,2,1,2.2,1.65,1.23,1.91,1.91,1.93,1.87,1.3,1.98,1.85,5.12,10.35,6.07,12.4,2.2,1.66,1.18,1.95,1.9,1.9,1.9,1.28,2.02,1.83,5,11,6.5,12,1.22,1.28,5.25,10,6.25,11.5,SC0,5,11,0,9,2,4,1.25,1.37,4.8,8.25,6,12,2.33,1.7,1.26,1.98,1.95,1.99,1.94,1.37,2.07,1.9,5.5,12,6.5,14,2.23,1.69,1.96,1.93,1.98,1.91,2.03,1.88,1.24,1.31,5.43,11.62,6.29,13.55,D Robertson,1.2,1.3,5,10.5,6,13,1.22,1.25,5.25,11,5.5,13
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,07/08/2021,15:00,St Mirren,Hearts,1,2,A,0,1,A,0,11,0.25,0,0,11,4,2,1.7,2.13,2.43,1.77,2.08,1.71,2.13,2.4,2.06,1.77,3.22,2.99,3.28,2.88,1.72,2.1,2.37,1.77,2.1,1.72,2.1,2.37,2.1,1.77,3.2,3.1,3.2,2.9,2.4,2.4,3.25,2.9,3.25,2.9,SC0,4,11,1,10,3,1,2.45,2.45,3.2,3,3.3,2.9,1.76,2.25,2.52,1.82,2.14,1.78,2.21,2.5,2.14,1.84,3.38,3.25,3.41,3.05,1.72,2.19,1.81,2.12,1.74,2.18,2.12,1.81,2.51,2.48,3.3,3.11,3.41,2.93,G Duncan,2.4,2.4,3.25,3,3.25,2.88,2.45,2.35,3.1,3,3.2,2.8
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,08/08/2021,15:00,Celtic,Dundee,6,0,H,2,0,H,3,12,-1.75,-1.75,1,3,0,1,2.45,1.53,11.54,1.88,1.94,2.73,1.44,11.83,2,1.82,6.52,1.22,6.26,1.23,2.5,1.53,11,1.88,1.98,2.75,1.44,12,2.05,1.8,6.5,1.2,6.5,1.18,10.5,9.25,6.25,1.25,6.5,1.22,SC0,11,11,0,31,15,0,11,10,5.75,1.27,6,1.25,2.55,1.6,14,1.94,2.05,2.9,1.5,15.21,2.06,1.92,7.12,1.27,7,1.27,2.49,1.56,1.88,1.99,2.81,1.45,2.04,1.85,12.97,13.32,7.12,1.22,6.68,1.22,E Anderson,10.5,11.5,6.5,1.22,5.75,1.25,13,11,5.8,1.22,5.8,1.2
SCO_Premiership,2021/22,regular_or_split_unverified,SC0,08/08/2021,15:00,Hibernian,Ross County,3,0,H,3,0,H,4,11,-1,-1,0,8,0,2,1.92,1.87,6.03,1.9,1.93,1.83,1.98,6.31,1.88,1.93,4.02,1.53,4.14,1.53,1.9,1.9,5.75,1.9,1.95,1.9,1.9,6,1.9,1.95,4,1.45,4,1.5,5.75,6,4,1.53,4.2,1.53,SC0,11,7,0,18,6,0,6,6.25,4.1,1.55,4.2,1.55,2.01,1.95,6.5,2,2,1.93,2.04,7.2,1.94,2.04,4.2,1.6,4.4,1.6,1.95,1.92,1.89,2,1.87,2.02,1.91,2,6.46,7.09,4.03,1.56,4.27,1.54,G Irvine,5.75,6,4.1,1.53,4,1.53,6.5,6.5,3.7,1.52,3.9,1.5
