league_id,season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgCA,AvgCD,AvgCH,B365CA,B365CD,B365CH,BFECA,BFECD,BFECH,Country,League,MaxCA,MaxCD,MaxCH,PSCA,PSCD,PSCH,Season
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,24/07/2021,17:00,Luzern,Young Boys,3,4,A,2.09,3.62,3.21,,,,,,,Switzerland,Super League,2.19,3.77,3.4,2.16,3.75,3.3,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,24/07/2021,19:30,Lausanne,St. Gallen,1,2,A,2.92,3.75,2.19,,,,,,,Switzerland,Super League,3.15,3.95,2.3,3.06,3.93,2.21,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,25/07/2021,13:15,Lugano,Zurich,0,2,A,3.21,3.44,2.16,,,,,,,Switzerland,Super League,3.44,3.7,2.26,3.34,3.59,2.19,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,25/07/2021,15:30,Grasshoppers,Basel,0,2,A,1.97,3.58,3.59,,,,,,,Switzerland,Super League,2.06,3.79,4.16,2.01,3.63,3.82,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,25/07/2021,15:30,Sion,Servette,1,2,A,2.19,3.76,2.92,,,,,,,Switzerland,Super League,2.3,4,3.2,2.25,3.91,3,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,31/07/2021,17:00,Zurich,Lausanne,3,1,H,3.5,3.53,2.02,,,,,,,Switzerland,Super League,3.9,3.72,2.24,3.77,3.66,2.02,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,31/07/2021,19:30,Young Boys,Grasshoppers,0,0,D,8.31,5.3,1.32,,,,,,,Switzerland,Super League,9.4,5.76,1.36,9.27,5.43,1.34,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,01/08/2021,13:15,St. Gallen,Luzern,2,2,D,3.34,3.87,1.97,,,,,,,Switzerland,Super League,3.8,4.1,2.05,3.5,4.05,1.99,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,01/08/2021,15:30,Basel,Sion,6,1,H,5.51,4.19,1.55,,,,,,,Switzerland,Super League,6,4.6,1.6,5.78,4.27,1.59,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,01/08/2021,15:30,Servette,Lugano,0,2,A,3.9,3.39,1.94,,,,,,,Switzerland,Super League,4.2,3.6,2,4.19,3.4,1.99,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,07/08/2021,17:00,Sion,Young Boys,1,0,H,1.45,4.56,6.34,,,,,,,Switzerland,Super League,1.53,4.95,7.5,1.47,4.69,6.86,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,07/08/2021,19:30,Grasshoppers,Lausanne,3,1,H,3.65,3.53,1.96,,,,,,,Switzerland,Super League,3.86,3.68,2.04,3.82,3.6,2.02,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,08/08/2021,13:15,Lugano,St. Gallen,2,1,H,3.07,3.28,2.29,,,,,,,Switzerland,Super League,3.26,3.5,2.4,3.25,3.39,2.32,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,08/08/2021,15:30,Basel,Servette,5,1,H,3.81,3.98,1.8,,,,,,,Switzerland,Super League,4.36,4.2,1.89,3.92,4.17,1.81,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,08/08/2021,15:30,Luzern,Zurich,1,3,A,3.14,3.72,2.09,,,,,,,Switzerland,Super League,3.36,3.93,2.16,3.28,3.93,2.11,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,21/08/2021,17:00,Zurich,Grasshoppers,2,1,H,3.8,3.62,1.9,,,,,,,Switzerland,Super League,4.2,3.92,2,4.01,3.71,1.93,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,21/08/2021,19:30,St. Gallen,Sion,1,1,D,5.26,4.67,1.51,,,,,,,Switzerland,Super League,5.8,5,1.6,5.48,4.99,1.53,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,22/08/2021,13:15,Lausanne,Basel,2,2,D,1.72,4.1,4.16,,,,,,,Switzerland,Super League,1.82,4.43,4.65,1.74,4.43,4.28,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,22/08/2021,15:30,Servette,Luzern,4,1,H,3.61,3.92,1.89,,,,,,,Switzerland,Super League,4.01,4.15,2.08,3.92,4.14,1.85,2021/2022
SUI_SuperLeague,2021/22,pre_or_post_split_unverified,SWZ,28/08/2021,17:00,St. Gallen,Zurich,3,3,D,3.53,3.89,1.91,,,,,,,Switzerland,Super League,3.8,4.13,2,3.64,4.04,1.95,2021/2022
