league_id,season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgCA,AvgCD,AvgCH,B365CA,B365CD,B365CH,BFECA,BFECD,BFECH,Country,League,MaxCA,MaxCD,MaxCH,PSCA,PSCD,PSCH,Season
SWE_Allsvenskan,2021,regular_league,SWE,10/04/2021,14:00,Malmo FF,Hammarby,3,2,H,5.23,4.1,1.6,,,,,,,Sweden,Allsvenskan,5.63,4.3,1.7,5.62,4.21,1.63,2021
SWE_Allsvenskan,2021,regular_league,SWE,10/04/2021,16:30,Orebro,Goteborg,0,0,D,2.21,3.31,3.29,,,,,,,Sweden,Allsvenskan,2.35,3.5,3.6,2.3,3.35,3.39,2021
SWE_Allsvenskan,2021,regular_league,SWE,11/04/2021,14:00,Halmstad,Hacken,1,0,H,2.28,3.19,3.28,,,,,,,Sweden,Allsvenskan,2.46,3.39,3.6,2.46,3.16,3.28,2021
SWE_Allsvenskan,2021,regular_league,SWE,11/04/2021,14:00,Mjallby,Varberg,0,0,D,3.38,3.24,2.21,,,,,,,Sweden,Allsvenskan,3.6,3.54,2.31,3.54,3.2,2.31,2021
SWE_Allsvenskan,2021,regular_league,SWE,11/04/2021,16:30,Elfsborg,Djurgarden,0,2,A,2.43,3.3,2.92,,,,,,,Sweden,Allsvenskan,2.5,3.46,3.08,2.46,3.38,3.08,2021
SWE_Allsvenskan,2021,regular_league,SWE,11/04/2021,16:30,Norrkoping,Sirius,1,1,D,5.12,3.91,1.65,,,,,,,Sweden,Allsvenskan,5.5,4.23,1.71,5.5,3.84,1.7,2021
SWE_Allsvenskan,2021,regular_league,SWE,12/04/2021,18:00,AIK,Degerfors,2,0,H,3.96,3.61,1.9,,,,,,,Sweden,Allsvenskan,4.3,3.75,1.98,3.94,3.7,1.98,2021
SWE_Allsvenskan,2021,regular_league,SWE,12/04/2021,18:00,Kalmar,Ostersunds,0,0,D,3.65,3.24,2.1,,,,,,,Sweden,Allsvenskan,4.01,3.49,2.38,4.01,3.32,2.09,2021
SWE_Allsvenskan,2021,regular_league,SWE,17/04/2021,14:00,Hammarby,Mjallby,2,0,H,5.31,3.92,1.63,,,,,,,Sweden,Allsvenskan,5.8,4.2,1.7,5.51,3.93,1.68,2021
SWE_Allsvenskan,2021,regular_league,SWE,18/04/2021,14:00,Degerfors,Kalmar,0,1,A,3.25,3.39,2.19,,,,,,,Sweden,Allsvenskan,3.49,3.58,2.37,3.36,3.58,2.22,2021
SWE_Allsvenskan,2021,regular_league,SWE,18/04/2021,14:00,Hacken,Malmo FF,1,2,A,2.04,3.5,3.53,,,,,,,Sweden,Allsvenskan,2.12,3.71,3.85,2.11,3.63,3.59,2021
SWE_Allsvenskan,2021,regular_league,SWE,18/04/2021,14:00,Ostersunds,Orebro,5,0,H,2.74,3.2,2.61,,,,,,,Sweden,Allsvenskan,2.86,3.35,2.75,2.86,3.31,2.66,2021
SWE_Allsvenskan,2021,regular_league,SWE,18/04/2021,16:30,Djurgarden,Norrkoping,1,0,H,3.55,3.54,2.02,,,,,,,Sweden,Allsvenskan,3.83,3.75,2.16,3.82,3.67,2.02,2021
SWE_Allsvenskan,2021,regular_league,SWE,18/04/2021,16:30,Sirius,Halmstad,1,0,H,2.8,3.17,2.58,,,,,,,Sweden,Allsvenskan,3.11,3.3,2.71,2.85,3.26,2.7,2021
SWE_Allsvenskan,2021,regular_league,SWE,19/04/2021,18:00,Goteborg,AIK,2,0,H,2.51,3.03,2.99,,,,,,,Sweden,Allsvenskan,2.66,3.15,3.1,2.66,3.09,3.05,2021
SWE_Allsvenskan,2021,regular_league,SWE,19/04/2021,18:00,Varberg,Elfsborg,1,3,A,2.04,3.42,3.59,,,,,,,Sweden,Allsvenskan,2.14,3.6,3.84,2.07,3.58,3.77,2021
SWE_Allsvenskan,2021,regular_league,SWE,24/04/2021,14:00,Hacken,Sirius,1,2,A,5.52,3.68,1.66,,,,,,,Sweden,Allsvenskan,5.92,3.86,1.72,5.92,3.76,1.68,2021
SWE_Allsvenskan,2021,regular_league,SWE,25/04/2021,14:00,Kalmar,Orebro,1,0,H,3.98,3.23,2.01,,,,,,,Sweden,Allsvenskan,4.21,3.52,2.12,4.11,3.25,2.09,2021
SWE_Allsvenskan,2021,regular_league,SWE,25/04/2021,14:00,Norrkoping,Halmstad,2,1,H,4.19,3.59,1.84,,,,,,,Sweden,Allsvenskan,4.5,3.9,1.92,4.26,3.75,1.89,2021
SWE_Allsvenskan,2021,regular_league,SWE,25/04/2021,14:00,Varberg,Djurgarden,1,3,A,1.74,3.52,5.05,,,,,,,Sweden,Allsvenskan,1.85,3.8,6,1.83,3.48,5.05,2021
SWE_Allsvenskan,2021,regular_league,SWE,25/04/2021,16:30,AIK,Hammarby,2,0,H,3.01,3.31,2.37,,,,,,,Sweden,Allsvenskan,3.12,3.5,2.65,3.11,3.41,2.42,2021
SWE_Allsvenskan,2021,regular_league,SWE,25/04/2021,16:30,Malmo FF,Ostersunds,1,1,D,15.32,6.93,1.18,,,,,,,Sweden,Allsvenskan,18.18,7.58,1.22,18.18,7.58,1.18,2021
SWE_Allsvenskan,2021,regular_league,SWE,26/04/2021,17:30,Elfsborg,Mjallby,1,0,H,5.35,3.72,1.66,,,,,,,Sweden,Allsvenskan,5.8,3.9,1.72,5.8,3.8,1.68,2021
