competition_id,season,source_season,stage,source_code,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Wed Sep 15 2021,21:00,Manchester City (ENG),RB Leipzig (GER),6,3,H,3,1
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Wed Sep 15 2021,,Club Brugge KV (BEL),Paris Saint-Germain (FRA),1,1,D,1,1
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Tue Sep 28,21:00,Paris Saint-Germain (FRA),Manchester City (ENG),2,0,H,1,0
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Tue Sep 28,,RB Leipzig (GER),Club Brugge KV (BEL),1,2,A,1,2
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Tue Oct 19,18:45,Club Brugge KV (BEL),Manchester City (ENG),1,5,A,0,2
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Tue Oct 19,21:00,Paris Saint-Germain (FRA),RB Leipzig (GER),3,2,H,1,1
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Wed Nov 3,21:00,RB Leipzig (GER),Paris Saint-Germain (FRA),2,2,D,1,2
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Wed Nov 3,,Manchester City (ENG),Club Brugge KV (BEL),4,1,H,1,1
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Wed Nov 24,21:00,Manchester City (ENG),Paris Saint-Germain (FRA),2,1,H,0,0
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Wed Nov 24,,Club Brugge KV (BEL),RB Leipzig (GER),0,5,A,0,4
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Tue Dec 7,18:45,RB Leipzig (GER),Manchester City (ENG),2,1,H,1,0
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Tue Dec 7,,Paris Saint-Germain (FRA),Club Brugge KV (BEL),4,1,H,3,0
UEFA_ChampionsLeague,2021/22,2021-22,group_stage,openfootball/champions-league,Wed Sep 15,21:00,Atlético Madrid (ESP),FC Porto (POR),0,0,D,,
