match_id,date_time,outcome,baseline_pH,baseline_pD,baseline_pA,challenger_pH,challenger_pD,challenger_pA
1216409,2015-11-05T01:10:00,A,0.24510904,0.30269810,0.45219286,0.27142407,0.22783544,0.50074050
1224430,2015-11-05T19:00:00,D,0.37478475,0.30083631,0.32437894,0.48468726,0.09581237,0.41950036
1232062,2015-11-06T18:00:00,D,0.64296540,0.22932359,0.12771101,0.53575162,0.35783304,0.10641534
1232059,2015-11-06T18:00:00,A,0.41009398,0.29351291,0.29639311,0.53359365,0.08075455,0.38565180
1232056,2015-11-06T18:00:00,H,0.36983213,0.27747612,0.35269175,0.28168953,0.44967624,0.26863424
1232152,2015-11-06T20:30:00,H,0.35454174,0.30382579,0.34163247,0.47215338,0.07288487,0.45496175
1232157,2015-11-06T20:55:00,H,0.18596597,0.24285987,0.57117415,0.19521084,0.20522043,0.59956873
1239647,2015-11-07T16:00:00,H,0.41947966,0.28162177,0.29889857,0.51270465,0.12196969,0.36532566
1239762,2015-11-07T17:05:00,A,0.38653548,0.31001715,0.30344737,0.34693485,0.38070601,0.27235914
1239816,2015-11-07T18:00:00,D,0.42052256,0.29798605,0.28149138,0.48645531,0.18791893,0.32562576
1239885,2015-11-08T15:00:00,A,0.43224414,0.28316383,0.28459204,0.51247999,0.15010023,0.33741978
1251486,2015-11-08T15:00:00,D,0.59268515,0.24749537,0.15981948,0.58735011,0.25426902,0.15838087
1251638,2015-11-08T16:30:00,H,0.36496715,0.29866387,0.33636898,0.38196112,0.26600756,0.35203133
1194607,2015-11-08T17:00:00,H,0.60200003,0.24796881,0.15003116,0.21435961,0.73221743,0.05342296
1251756,2015-11-08T21:00:00,H,0.48170318,0.28246579,0.23583103,0.56531061,0.15792605,0.27676334
1253550,2015-11-09T19:30:00,H,0.69881901,0.19364013,0.10754087,0.63370270,0.26877714,0.09752016
1265252,2015-11-11T20:30:00,H,0.57489875,0.22077365,0.20432760,0.52289207,0.29126428,0.18584365
1278587,2015-11-13T15:30:00,H,0.67567788,0.20634962,0.11797250,0.62280743,0.26845118,0.10874139
