match_id,league,home_team,away_team,match_datetime
1543452,England: Championship,Blackburn,Middlesbrough,2016-03-01 20:45:00
2159613,England: Premier League,Aston Villa,Everton,2016-03-01 20:45:00
2159614,England: Premier League,Bournemouth,Southampton,2016-03-01 20:45:00
2159615,England: Premier League,Leicester,West Brom,2016-03-01 20:45:00
2159616,England: Premier League,Norwich,Chelsea,2016-03-01 20:45:00
2159617,England: Premier League,Sunderland,Crystal Palace,2016-03-01 20:45:00
2159619,England: League One,Barnsley,Coventry,2016-03-01 20:45:00
2159620,England: League One,Bradford,Colchester,2016-03-01 20:45:00
2159621,England: League One,Bury,Peterborough,2016-03-01 20:45:00
2159622,England: League One,Chesterfield,Blackpool,2016-03-01 20:45:00
2159623,England: League One,Fleetwood Town,Gillingham FC,2016-03-01 20:45:00
2159624,England: League One,Millwall,Wigan,2016-03-01 20:45:00
2159625,England: League One,Oldham,Port Vale,2016-03-01 20:45:00
2159626,England: League One,Sheffield Utd,Burton,2016-03-01 20:45:00
2159627,England: League One,Shrewsbury,Rochdale,2016-03-01 20:45:00
2159628,England: League One,Southend,Crewe,2016-03-01 20:45:00
2159629,England: League One,Swindon,Doncaster,2016-03-01 20:45:00
2159630,England: League One,Walsall,Scunthorpe,2016-03-01 20:45:00
2159631,England: League Two,Barnet,Plymouth,2016-03-01 20:45:00
2159632,England: League Two,Bristol Rovers,Hartlepool,2016-03-01 20:45:00
2159633,England: League Two,Cambridge Utd,Wycombe,2016-03-01 20:45:00
2159634,England: League Two,Carlisle,Leyton Orient,2016-03-01 20:45:00
2159635,England: League Two,Crawley Town,Newport,2016-03-01 20:45:00
2159636,England: League Two,Exeter,Portsmouth,2016-03-01 20:45:00
2159637,England: League Two,Luton,Morecambe,2016-03-01 20:45:00
2159638,England: League Two,Northampton,AFC Wimbledon,2016-03-01 20:45:00
2159639,England: League Two,Notts County,Dagenham &amp; Red.,2016-03-01 20:45:00
2159787,England: League Two,Oxford Utd,York,2016-03-01 20:45:00
2159788,England: League Two,Yeovil,Accrington,2016-03-01 20:45:00
2214591,England: Premier League,Arsenal,Swansea,2016-03-02 20:45:00
2214592,England: Premier League,Stoke City,Newcastle Utd,2016-03-02 20:45:00
2214593,England: Premier League,West Ham,Tottenham,2016-03-02 20:45:00
2214607,England: Premier League,Liverpool,Manchester City,2016-03-02 21:00:00
2214609,England: Premier League,Manchester United,Watford,2016-03-02 21:00:00
2367404,England: Championship,Birmingham,Hull City,2016-03-03 20:45:00
2522497,England: Championship,Middlesbrough,Wolves,2016-03-04 20:45:00
2676010,England: Championship,Bristol City,Cardiff,2016-03-05 13:00:00
2676048,England: Championship,Burnley,Blackburn,2016-03-05 13:30:00
2676054,England: Premier League,Tottenham,Arsenal,2016-03-05 13:45:00
2676365,England: Premier League,Chelsea,Stoke City,2016-03-05 16:00:00
2676366,England: Premier League,Everton,West Ham,2016-03-05 16:00:00
2676368,England: Premier League,Manchester City,Aston Villa,2016-03-05 16:00:00
2676369,England: Premier League,Newcastle Utd,Bournemouth,2016-03-05 16:00:00
2676370,England: Premier League,Southampton,Sunderland,2016-03-05 16:00:00
2676371,England: Premier League,Swansea,Norwich,2016-03-05 16:00:00
2676372,England: Championship,Brentford,Charlton,2016-03-05 16:00:00
2676373,England: Championship,Derby,Huddersfield,2016-03-05 16:00:00
2676374,England: Championship,Ipswich,Nottingham,2016-03-05 16:00:00
2676375,England: Championship,Leeds,Bolton,2016-03-05 16:00:00
2676376,England: Championship,Milton Keynes Dons,QPR,2016-03-05 16:00:00
2676377,England: Championship,Preston,Brighton,2016-03-05 16:00:00
2676378,England: Championship,Reading,Fulham,2016-03-05 16:00:00
2676379,England: Championship,Sheffield Wed,Rotherham,2016-03-05 16:00:00
2676380,England: League One,Bury,Bradford,2016-03-05 16:00:00
2676381,England: League One,Coventry,Rochdale,2016-03-05 16:00:00
2676382,England: League One,Crewe,Burton,2016-03-05 16:00:00
2676383,England: League One,Doncaster,Shrewsbury,2016-03-05 16:00:00
2676384,England: League One,Fleetwood Town,Sheffield Utd,2016-03-05 16:00:00
2676385,England: League One,Millwall,Blackpool,2016-03-05 16:00:00
2676388,England: League One,Port Vale,Colchester,2016-03-05 16:00:00
2676389,England: League One,Scunthorpe,Gillingham FC,2016-03-05 16:00:00
2676390,England: League One,Southend,Chesterfield,2016-03-05 16:00:00
2676391,England: League One,Walsall,Barnsley,2016-03-05 16:00:00
2676392,England: League One,Wigan,Peterborough,2016-03-05 16:00:00
2676393,England: League Two,AFC Wimbledon,Accrington,2016-03-05 16:00:00
2676394,England: League Two,Barnet,Hartlepool,2016-03-05 16:00:00
2676395,England: League Two,Cambridge Utd,Exeter,2016-03-05 16:00:00
2676396,England: League Two,Carlisle,Northampton,2016-03-05 16:00:00
2676397,England: League Two,Crawley Town,Morecambe,2016-03-05 16:00:00
2676398,England: League Two,Dagenham &amp; Red.,York,2016-03-05 16:00:00
2676399,England: League Two,Leyton Orient,Luton,2016-03-05 16:00:00
2676400,England: League Two,Mansfield,Yeovil,2016-03-05 16:00:00
2676401,England: League Two,Newport,Wycombe,2016-03-05 16:00:00
2676402,England: League Two,Notts County,Bristol Rovers,2016-03-05 16:00:00
2676403,England: League Two,Plymouth,Oxford Utd,2016-03-05 16:00:00
2676404,England: League Two,Stevenage,Portsmouth,2016-03-05 16:00:00
2676750,England: Premier League,Watford,Leicester,2016-03-05 18:30:00
2836497,England: Premier League,Crystal Palace,Liverpool,2016-03-06 14:30:00
2836866,England: Premier League,West Brom,Manchester United,2016-03-06 17:00:00
1543462,England: League One,Bradford,Burton,2016-03-08 20:45:00
1777001,England: League Two,Dagenham &amp; Red.,Carlisle,2016-03-08 20:45:00
3170782,England: Championship,Blackburn,Birmingham,2016-03-08 20:45:00
3170784,England: Championship,Cardiff,Leeds,2016-03-08 20:45:00
3170785,England: Championship,Charlton,Milton Keynes Dons,2016-03-08 20:45:00
3170786,England: Championship,Fulham,Burnley,2016-03-08 20:45:00
3170787,England: Championship,Huddersfield,Reading,2016-03-08 20:45:00
3170789,England: Championship,Nottingham,Preston,2016-03-08 20:45:00
3170790,England: Championship,QPR,Derby,2016-03-08 20:45:00
3170791,England: Championship,Rotherham,Middlesbrough,2016-03-08 20:45:00
3170792,England: Championship,Wolves,Bristol City,2016-03-08 20:45:00
3170795,England: League One,Shrewsbury,Coventry,2016-03-08 20:45:00
3170783,England: Championship,Brighton,Sheffield Wed,2016-03-08 21:00:00
3170842,England: Championship,Bolton,Ipswich,2016-03-08 21:00:00
3782882,England: Championship,Blackburn,Leeds,2016-03-12 13:30:00
3782897,England: Premier League,Norwich,Manchester City,2016-03-12 13:45:00
3783273,England: Premier League,Bournemouth,Swansea,2016-03-12 16:00:00
3783275,England: Premier League,Stoke City,Southampton,2016-03-12 16:00:00
3783278,England: Championship,Bolton,Preston,2016-03-12 16:00:00
3783279,England: Championship,Cardiff,Ipswich,2016-03-12 16:00:00
3783280,England: Championship,Fulham,Bristol City,2016-03-12 16:00:00
