competition_id,season,split,stage,date,home_team,away_team,home_history_matches,home_history_gf,home_history_ga,home_history_ppg,home_venue_matches,home_venue_gf,home_venue_ga,home_last5_matches,home_last5_gf,home_last5_ga,home_last5_ppg,away_history_matches,away_history_gf,away_history_ga,away_history_ppg,away_venue_matches,away_venue_gf,away_venue_ga,away_last5_matches,away_last5_gf,away_last5_ga,away_last5_ppg,home_elo_pre_match,away_elo_pre_match,elo_difference_with_home_advantage,cold_start_flag,stage_unverified_flag,label_home_goals,label_away_goals,label_total_goals,label_total_goals_bin,label_goal_difference,label_result,source_path
ESP_LaLiga,2021/22,train,regular_league,2021-08-13,Valencia,Getafe,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,1,0,1,1,1,H,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-14,Alaves,Real Madrid,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,1,4,5,5,-3,A,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-14,Cadiz,Levante,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,1,1,2,2,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-14,Mallorca,Betis,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,1,1,2,2,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-14,Osasuna,Espanol,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,0,0,0,0,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-15,Barcelona,Sociedad,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,4,2,6,6,2,H,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-15,Celta,Ath Madrid,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,1,2,3,3,-1,A,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-15,Sevilla,Vallecano,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,3,0,3,3,3,H,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-16,Elche,Ath Bilbao,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,0,0,0,0,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-16,Villarreal,Granada,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,0,0,0,0,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-20,Betis,Cadiz,1,1.0,1.0,1.0,0,,,1,1.0,1.0,1.0,1,1.0,1.0,1.0,0,,,1,1.0,1.0,1.0,1501.70997357,1498.29002643,63.41994715,1,0,1,1,2,2,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-21,Alaves,Mallorca,1,1.0,4.0,0.0,1,1.0,4.0,1,1.0,4.0,0.0,1,1.0,1.0,1.0,0,,,1,1.0,1.0,1.0,1488.29002643,1498.29002643,50.0,1,0,0,1,1,1,-1,A,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-21,Ath Bilbao,Barcelona,1,0.0,0.0,1.0,0,,,1,0.0,0.0,1.0,1,4.0,2.0,3.0,0,,,1,4.0,2.0,3.0,1501.70997357,1508.29002643,53.41994715,1,0,1,1,2,2,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-21,Espanol,Villarreal,1,0.0,0.0,1.0,0,,,1,0.0,0.0,1.0,1,0.0,0.0,1.0,0,,,1,0.0,0.0,1.0,1501.70997357,1498.29002643,63.41994715,1,0,0,0,0,0,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-21,Granada,Valencia,1,0.0,0.0,1.0,0,,,1,0.0,0.0,1.0,1,1.0,0.0,3.0,0,,,1,1.0,0.0,3.0,1501.70997357,1508.29002643,53.41994715,1,0,1,1,2,2,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-22,Ath Madrid,Elche,1,2.0,1.0,3.0,0,,,1,2.0,1.0,3.0,1,0.0,0.0,1.0,0,,,1,0.0,0.0,1.0,1511.70997357,1498.29002643,73.41994715,1,0,1,0,1,1,1,H,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-22,Levante,Real Madrid,1,1.0,1.0,1.0,0,,,1,1.0,1.0,1.0,1,4.0,1.0,3.0,1,4.0,1.0,1,4.0,1.0,3.0,1501.70997357,1511.70997357,50.0,1,0,3,3,6,6,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-22,Sociedad,Vallecano,1,2.0,4.0,0.0,0,,,1,2.0,4.0,0.0,1,0.0,3.0,0.0,1,0.0,3.0,1,0.0,3.0,0.0,1491.70997357,1491.70997357,60.0,1,0,1,0,1,1,1,H,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-23,Getafe,Sevilla,1,0.0,1.0,0.0,0,,,1,0.0,1.0,0.0,1,3.0,0.0,3.0,0,,,1,3.0,0.0,3.0,1491.70997357,1508.29002643,43.41994715,1,0,0,1,1,1,-1,A,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-23,Osasuna,Celta,1,0.0,0.0,1.0,1,0.0,0.0,1,0.0,0.0,1.0,1,1.0,2.0,0.0,0,,,1,1.0,2.0,0.0,1498.29002643,1488.29002643,70.0,1,0,0,0,0,0,0,D,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-27,Mallorca,Espanol,2,1.0,0.5,2.0,1,1.0,1.0,2,1.0,0.5,2.0,2,0.0,0.0,1.0,1,0.0,0.0,2,0.0,0.0,1.0,1509.71928877,1499.90460787,69.8146809,1,0,1,0,1,1,1,H,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-27,Valencia,Alaves,2,1.0,0.5,2.0,1,1.0,0.0,2,1.0,0.5,2.0,2,0.5,2.5,0.0,0,,,2,0.5,2.5,0.0,1509.8155734,1476.86076408,92.95480932,1,0,3,0,3,3,3,H,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-28,Betis,Real Madrid,2,1.0,1.0,1.0,1,1.0,1.0,2,1.0,1.0,1.0,2,3.5,2.0,2.0,2,3.5,2.0,2,3.5,2.0,2.0,1499.90460787,1513.13923592,46.76537195,1,0,0,1,1,1,-1,A,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-28,Celta,Ath Bilbao,2,0.5,1.0,0.5,1,1.0,2.0,2,0.5,1.0,0.5,2,0.5,0.5,1.0,1,0.0,0.0,2,0.5,0.5,1.0,1490.27796236,1500.1844266,50.09353576,1,0,0,1,1,1,-1,A,processed/ESP_LaLiga/2021-22.csv
ESP_LaLiga,2021/22,train,regular_league,2021-08-28,Elche,Sevilla,2,0.0,0.5,0.5,1,0.0,0.0,2,0.0,0.5,0.5,2,2.0,0.0,3.0,1,1.0,0.0,2,2.0,0.0,3.0,1490.37231867,1519.53328721,30.83903146,1,0,1,1,2,2,0,D,processed/ESP_LaLiga/2021-22.csv
