competition_id,season,split,stage,date,home_team,away_team,home_history_matches,home_history_gf,home_history_ga,home_history_ppg,home_venue_matches,home_venue_gf,home_venue_ga,home_last5_matches,home_last5_gf,home_last5_ga,home_last5_ppg,away_history_matches,away_history_gf,away_history_ga,away_history_ppg,away_venue_matches,away_venue_gf,away_venue_ga,away_last5_matches,away_last5_gf,away_last5_ga,away_last5_ppg,home_elo_pre_match,away_elo_pre_match,elo_difference_with_home_advantage,cold_start_flag,stage_unverified_flag,label_home_goals,label_away_goals,label_total_goals,label_total_goals_bin,label_goal_difference,label_result,source_path
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-02-27,대구,수원FC,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,1,1,2,2,0,D,processed/KOR_KLeague1/official_results.csv
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-02-27,전북,서울,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,2,0,2,2,2,H,processed/KOR_KLeague1/official_results.csv
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-02-28,수원,광주,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,1,0,1,1,1,H,processed/KOR_KLeague1/official_results.csv
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-02-28,포항,인천,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,2,1,3,3,1,H,processed/KOR_KLeague1/official_results.csv
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-03-01,성남,제주,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,0,0,0,0,0,D,processed/KOR_KLeague1/official_results.csv
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-03-01,울산,강원,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,0,5,0,5,5,5,H,processed/KOR_KLeague1/official_results.csv
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-03-06,강원,포항,1,0.0,5.0,0.0,0,,,1,0.0,5.0,0.0,1,2.0,1.0,3.0,0,,,1,2.0,1.0,3.0,1491.70997357,1508.29002643,43.41994715,1,0,1,3,4,4,-2,A,processed/KOR_KLeague1/official_results.csv
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-03-06,광주,울산,1,0.0,1.0,0.0,0,,,1,0.0,1.0,0.0,1,5.0,0.0,3.0,0,,,1,5.0,0.0,3.0,1491.70997357,1508.29002643,43.41994715,1,0,0,1,1,1,-1,A,processed/KOR_KLeague1/official_results.csv
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-03-06,인천,대구,1,1.0,2.0,0.0,0,,,1,1.0,2.0,0.0,1,1.0,1.0,1.0,0,,,1,1.0,1.0,1.0,1491.70997357,1498.29002643,53.41994715,1,0,2,1,3,3,1,H,processed/KOR_KLeague1/official_results.csv
KOR_KLeague1,2021,train,regular_rounds_1_33,2021-03-06,제주,전북,1,0.0,0.0,1.0,0,,,1,0.0,0.0,1.0,1,2.0,0.0,3.0,0,,,1,2.0,0.0,3.0,1501.70997357,1508.29002643,53.41994715,1,0,1,1,2,2,0,D,processed/KOR_KLeague1/official_results.csv
