competition_id,season,split,stage,date,home_team,away_team,home_history_matches,home_history_gf,home_history_ga,home_history_ppg,home_venue_matches,home_venue_gf,home_venue_ga,home_last5_matches,home_last5_gf,home_last5_ga,home_last5_ppg,away_history_matches,away_history_gf,away_history_ga,away_history_ppg,away_venue_matches,away_venue_gf,away_venue_ga,away_last5_matches,away_last5_gf,away_last5_ga,away_last5_ppg,home_elo_pre_match,away_elo_pre_match,elo_difference_with_home_advantage,cold_start_flag,stage_unverified_flag,label_home_goals,label_away_goals,label_total_goals,label_total_goals_bin,label_goal_difference,label_result,source_path
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-07-31,Dundee,St Mirren,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,1,2,2,4,4,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-07-31,Hearts,Celtic,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,1,2,1,3,3,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-07-31,Rangers,Livingston,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,1,3,0,3,3,3,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-07-31,Ross County,St Johnstone,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,1,0,0,0,0,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-01,Aberdeen,Dundee United,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,1,2,0,2,2,2,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-01,Motherwell,Hibernian,0,,,,0,,,0,,,,0,,,,0,,,0,,,,1500.0,1500.0,60.0,1,1,2,3,5,5,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-07,Dundee United,Rangers,1,0.0,2.0,0.0,0,,,1,0.0,2.0,0.0,1,3.0,0.0,3.0,0,,,1,3.0,0.0,3.0,1491.70997357,1508.29002643,43.41994715,1,1,1,0,1,1,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-07,St Mirren,Hearts,1,2.0,2.0,1.0,0,,,1,2.0,2.0,1.0,1,2.0,1.0,3.0,0,,,1,2.0,1.0,3.0,1501.70997357,1508.29002643,53.41994715,1,1,1,2,3,3,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-08,Celtic,Dundee,1,1.0,2.0,0.0,0,,,1,1.0,2.0,0.0,1,2.0,2.0,1.0,0,,,1,2.0,2.0,1.0,1491.70997357,1498.29002643,53.41994715,1,1,6,0,6,6,6,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-08,Hibernian,Ross County,1,3.0,2.0,3.0,0,,,1,3.0,2.0,3.0,1,0.0,0.0,1.0,0,,,1,0.0,0.0,1.0,1511.70997357,1498.29002643,73.41994715,1,1,3,0,3,3,3,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-08,Livingston,Aberdeen,1,0.0,3.0,0.0,0,,,1,0.0,3.0,0.0,1,2.0,0.0,3.0,0,,,1,2.0,0.0,3.0,1491.70997357,1508.29002643,43.41994715,1,1,1,2,3,3,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-08,St Johnstone,Motherwell,1,0.0,0.0,1.0,0,,,1,0.0,0.0,1.0,1,2.0,3.0,0.0,0,,,1,2.0,3.0,0.0,1501.70997357,1488.29002643,73.41994715,1,1,1,1,2,2,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-21,Celtic,St Mirren,2,3.5,1.0,1.5,1,6.0,0.0,2,3.5,1.0,1.5,2,1.5,2.0,0.5,1,2.0,2.0,2,1.5,2.0,0.5,1500.1844266,1490.1844266,70.0,1,1,6,0,6,6,6,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-21,Livingston,Motherwell,2,0.5,2.5,0.0,1,1.0,2.0,2,0.5,2.5,0.0,2,1.5,2.0,0.5,1,1.0,1.0,2,1.5,2.0,0.5,1480.46671279,1490.37231867,50.09439412,1,1,1,2,3,3,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-22,Dundee,Hibernian,2,1.0,4.0,0.5,1,2.0,2.0,2,1.0,4.0,0.5,2,3.0,1.0,3.0,1,3.0,2.0,2,3.0,1.0,3.0,1489.8155734,1519.62768133,30.18789206,1,1,2,2,4,4,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-22,Hearts,Aberdeen,2,2.0,1.0,3.0,1,2.0,1.0,2,2.0,1.0,3.0,2,2.0,0.5,3.0,1,2.0,1.0,2,2.0,0.5,3.0,1519.8155734,1519.53328721,60.28228618,1,1,1,1,2,2,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-22,Ross County,Rangers,2,0.0,1.5,0.5,1,0.0,0.0,2,0.0,1.5,0.5,2,1.5,0.5,1.5,1,0.0,1.0,2,1.5,0.5,1.5,1490.37231867,1499.53328721,50.83903146,1,1,2,4,6,6,-2,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-22,St Johnstone,Dundee United,2,0.5,0.5,1.0,1,1.0,1.0,2,0.5,0.5,1.0,2,0.5,1.0,1.5,1,0.0,2.0,2,0.5,1.0,1.5,1499.62768133,1500.46671279,59.16096854,1,1,0,1,1,1,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-28,Dundee United,Hearts,3,0.66666667,0.66666667,2.0,1,1.0,0.0,3,0.66666667,0.66666667,2.0,3,1.66666667,1.0,2.33333333,1,2.0,1.0,3,1.66666667,1.0,2.33333333,1512.15323358,1518.09771364,54.05551994,1,1,0,2,2,2,-2,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-28,Hibernian,Livingston,3,2.66666667,1.33333333,2.33333333,1,3.0,0.0,3,2.66666667,1.33333333,2.33333333,3,0.66666667,2.33333333,0.0,1,0.0,3.0,3,0.66666667,2.33333333,0.0,1520.49437877,1469.03478916,111.45958961,1,1,2,0,2,2,2,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-28,Motherwell,Dundee,3,1.66666667,1.66666667,1.33333333,1,2.0,3.0,3,1.66666667,1.66666667,1.33333333,3,1.33333333,3.33333333,0.66666667,1,0.0,6.0,3,1.33333333,3.33333333,0.66666667,1501.80424229,1488.94887596,72.85536633,1,1,1,0,1,1,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-29,Aberdeen,Ross County,3,1.66666667,0.66666667,2.33333333,1,2.0,0.0,3,1.66666667,0.66666667,2.33333333,3,0.66666667,2.33333333,0.33333333,1,0.0,3.0,3,0.66666667,2.33333333,0.33333333,1521.25114696,1478.91940858,102.33173839,1,1,1,1,2,2,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-29,Rangers,Celtic,3,2.33333333,1.0,2.0,1,3.0,0.0,3,2.33333333,1.0,2.0,3,4.33333333,0.66666667,2.0,1,1.0,2.0,3,4.33333333,0.66666667,2.0,1510.9861973,1508.19649067,62.78970663,1,1,1,0,1,1,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-08-29,St Mirren,St Johnstone,3,1.0,3.33333333,0.33333333,1,1.0,2.0,3,1.0,3.33333333,0.33333333,3,0.33333333,0.66666667,0.66666667,1,0.0,0.0,3,0.33333333,0.66666667,0.66666667,1482.17236254,1487.94116054,54.231202,1,1,0,0,0,0,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-11,Celtic,Ross County,4,3.25,0.75,1.5,2,6.0,0.0,4,3.25,0.75,1.5,4,0.75,2.0,0.5,2,0.5,2.0,4,0.75,2.0,0.5,1499.9843021,1481.78243789,78.20186421,1,1,3,0,3,3,3,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-11,Dundee,Livingston,4,1.0,2.75,0.5,2,2.0,2.0,4,1.0,2.75,0.5,4,0.5,2.25,0.0,2,0.0,2.5,4,0.5,2.25,0.0,1481.01561759,1462.13714885,78.87846874,1,1,0,0,0,0,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-11,Motherwell,Aberdeen,4,1.5,1.25,1.75,2,1.5,1.5,4,1.5,1.25,1.75,4,1.5,0.75,2.0,2,1.5,1.0,4,1.5,0.75,2.0,1509.73750065,1518.38811765,51.349383,1,1,2,0,2,2,2,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-11,St Johnstone,Rangers,4,0.25,0.5,0.75,2,0.5,1.0,4,0.25,0.5,0.75,4,2.0,0.75,2.25,2,2.0,1.5,4,2.0,0.75,2.25,1489.48950572,1519.19838587,30.29111985,1,1,1,2,3,3,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-11,St Mirren,Dundee United,4,0.75,2.5,0.5,2,0.5,1.0,4,0.75,2.5,0.5,4,0.5,1.0,1.5,2,0.5,1.0,4,0.5,1.0,1.5,1480.62401736,1500.6098241,40.01419326,1,1,0,0,0,0,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-12,Hearts,Hibernian,4,1.75,0.75,2.5,2,1.5,1.0,4,1.75,0.75,2.5,4,2.5,1.0,2.5,2,2.5,2.0,4,2.5,1.0,2.5,1529.64112312,1527.39201908,62.24910404,1,1,0,0,0,0,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-18,Aberdeen,St Johnstone,5,1.2,1.0,1.6,2,1.5,0.5,5,1.2,1.0,1.6,5,0.4,0.8,0.6,2,0.0,0.0,5,0.4,0.8,0.6,1509.85540368,1478.61985954,91.23554414,0,1,0,1,1,1,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-18,Hibernian,St Mirren,5,2.0,0.8,2.2,2,2.5,0.0,5,2.0,0.8,2.2,5,0.6,2.0,0.6,2,1.0,4.0,5,0.6,2.0,0.6,1529.16476387,1479.47738154,109.68738233,0,1,2,2,4,4,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-18,Ross County,Hearts,5,0.6,2.2,0.4,2,1.0,2.0,5,0.6,2.2,0.4,5,1.4,0.6,2.2,2,2.0,0.5,5,1.4,0.6,2.2,1473.99601247,1527.86837833,6.12763414,0,1,2,2,4,4,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-19,Dundee United,Dundee,5,0.4,0.8,1.4,2,0.5,1.0,5,0.4,0.8,1.4,5,0.8,2.2,0.6,2,0.0,3.5,5,0.8,2.2,0.6,1501.75645992,1478.78353099,82.97292893,0,1,1,0,1,1,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-19,Livingston,Celtic,5,0.4,1.8,0.2,2,1.0,2.0,5,0.4,1.8,0.2,5,3.2,0.6,1.8,2,0.5,1.5,5,3.2,0.6,1.8,1464.36923545,1507.77072752,16.59850793,0,1,1,0,1,1,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-19,Rangers,Motherwell,5,2.0,0.8,2.4,2,2.0,0.0,5,2.0,0.8,2.4,5,1.6,1.0,2.0,2,1.5,1.0,5,1.6,1.0,2.0,1530.06803205,1518.27021463,71.79781742,0,1,1,1,2,2,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-25,Dundee,Rangers,6,0.66666667,2.0,0.5,3,1.33333333,1.33333333,5,0.4,2.0,0.4,6,1.83333333,0.83333333,2.16666667,3,2.0,1.33333333,5,1.6,1.0,2.0,1471.12729526,1528.0304472,3.09684806,0,1,0,1,1,1,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-25,Hearts,Livingston,6,1.5,0.83333333,2.0,3,1.0,0.66666667,5,1.4,0.8,1.8,6,0.5,1.5,0.66666667,3,0.0,1.66666667,5,0.6,1.2,0.8,1528.04472754,1473.89185513,114.15287241,0,1,3,0,3,3,3,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-25,Motherwell,Ross County,6,1.5,1.0,1.83333333,3,1.66666667,1.0,5,1.4,0.6,2.2,6,0.83333333,2.16666667,0.5,3,0.33333333,2.33333333,5,1.0,2.6,0.4,1520.30779947,1473.81966326,106.48813621,0,1,2,1,3,3,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-26,Celtic,Dundee United,6,2.66666667,0.66666667,1.5,3,5.0,0.0,5,3.0,0.4,1.8,6,0.5,0.66666667,1.66666667,3,0.33333333,0.66666667,5,0.6,0.4,2.0,1498.24810785,1509.41269566,48.83541219,0,1,1,1,2,2,0,D,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-26,Hibernian,St Johnstone,6,2.0,1.0,2.0,3,2.33333333,0.66666667,5,1.8,0.8,1.8,6,0.5,0.66666667,1.0,3,0.33333333,0.0,5,0.6,0.8,1.0,1526.10857572,1491.18708945,94.92148627,0,1,1,0,1,1,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-09-26,St Mirren,Aberdeen,6,0.83333333,2.0,0.66666667,3,0.33333333,0.66666667,5,0.6,2.0,0.6,6,1.0,1.0,1.33333333,3,1.0,1.33333333,5,0.8,1.2,1.0,1482.53356969,1497.28817378,45.24539592,0,1,3,2,5,5,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-10-02,Dundee United,Ross County,7,0.57142857,0.71428571,1.57142857,3,0.66666667,0.66666667,5,0.6,0.6,1.6,7,0.85714286,2.14285714,0.42857143,4,0.5,2.25,5,1.2,2.4,0.4,1510.80910759,1466.79213719,104.01697041,0,1,1,0,1,1,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-10-02,Hearts,Motherwell,7,1.71428571,0.71428571,2.14285714,4,1.5,0.5,5,1.6,0.6,1.8,7,1.57142857,1.0,2.0,3,1.33333333,1.0,5,1.6,0.6,2.6,1534.87247932,1527.33532555,67.53715378,0,1,2,0,2,2,2,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-10-02,Livingston,St Mirren,7,0.42857143,1.71428571,0.57142857,3,1.0,1.33333333,5,0.4,1.4,0.8,7,1.14285714,2.0,1.0,3,1.33333333,3.33333333,5,1.0,2.0,1.2,1467.06410334,1491.23861463,35.8254887,0,1,0,1,1,1,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-10-02,St Johnstone,Dundee,7,0.42857143,0.71428571,0.85714286,3,0.66666667,1.33333333,5,0.4,0.8,0.8,7,0.57142857,1.85714286,0.42857143,3,0.0,2.66666667,5,0.4,1.0,0.4,1483.85314439,1461.03816317,82.81498122,0,1,3,1,4,4,2,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-10-03,Aberdeen,Celtic,7,1.14285714,1.28571429,1.14285714,3,1.0,0.66666667,5,0.8,1.6,0.4,7,2.42857143,0.71428571,1.42857143,3,0.33333333,1.33333333,5,2.0,0.6,1.4,1488.58312884,1496.85169591,51.73143293,0,1,1,2,3,3,-1,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-10-03,Rangers,Hibernian,7,1.71428571,0.71428571,2.28571429,3,1.66666667,0.33333333,5,1.8,0.8,2.6,7,1.85714286,0.85714286,2.14285714,3,1.66666667,1.33333333,5,1.4,0.8,1.8,1538.11957929,1533.44252077,64.67705852,0,1,2,1,3,3,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-10-16,Dundee,Aberdeen,8,0.625,2.0,0.375,4,1.0,1.25,5,0.2,1.2,0.2,8,1.125,1.375,1.0,4,1.25,1.75,5,0.8,1.8,0.2,1453.3776306,1477.10508501,36.27254559,0,1,2,1,3,3,1,H,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-10-16,Hibernian,Dundee United,8,1.75,1.0,1.875,4,2.0,0.5,5,1.2,0.8,1.6,8,0.625,0.625,1.75,4,0.5,0.75,5,0.6,0.6,1.6,1525.28286673,1517.90161142,67.38125531,0,1,0,3,3,3,-3,A,processed/SCO_Premiership/2021-22.csv
SCO_Premiership,2021/22,train,regular_or_split_unverified,2021-10-16,Motherwell,Celtic,8,1.375,1.125,1.75,4,1.75,1.0,5,1.2,0.8,2.0,8,2.375,0.75,1.625,4,0.75,1.25,5,1.2,0.8,1.4,1519.25508149,1508.32973974,70.92534175,0,1,0,2,2,2,-2,A,processed/SCO_Premiership/2021-22.csv
